Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:21:21.057000,VET,5,0 days 00:01:35.117000,1.0,1.0,0 days 00:19:47.291000,,0 days 00:00:28.521000,0 days 00:00:28.444000,0 days 00:00:38.152000,0 days 00:20:14.498000,0 days 00:20:42.921000,0 days 00:21:21.172000,215.0,257.0,300.0,118.0,False,SOFT,1.0,True,Ferrari,0 days 00:19:47.291000,2019-06-08 18:04:47.356,1,,False,,False,False
0 days 00:22:33.396000,VET,5,0 days 00:01:12.339000,2.0,1.0,,,0 days 00:00:20.189000,0 days 00:00:23.135000,0 days 00:00:29.015000,0 days 00:21:41.246000,0 days 00:22:04.381000,0 days 00:22:33.396000,263.0,257.0,299.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:21.057000,2019-06-08 18:06:21.122,1,,False,,False,True
0 days 00:24:07.874000,VET,5,0 days 00:01:34.478000,3.0,1.0,,,0 days 00:00:25.946000,0 days 00:00:31.364000,0 days 00:00:37.168000,0 days 00:22:59.342000,0 days 00:23:30.706000,0 days 00:24:07.874000,178.0,245.0,301.0,273.0,False,SOFT,3.0,True,Ferrari,0 days 00:22:33.396000,2019-06-08 18:07:33.461,1,,False,,False,True
0 days 00:25:19.475000,VET,5,0 days 00:01:11.601000,4.0,1.0,,,0 days 00:00:19.823000,0 days 00:00:22.860000,0 days 00:00:28.918000,0 days 00:24:27.697000,0 days 00:24:50.557000,0 days 00:25:19.475000,266.0,291.0,302.0,331.0,True,SOFT,4.0,True,Ferrari,0 days 00:24:07.874000,2019-06-08 18:09:07.939,1,,False,,False,True
0 days 00:26:55.614000,VET,5,0 days 00:01:36.139000,5.0,1.0,,,0 days 00:00:25.260000,0 days 00:00:29.973000,0 days 00:00:40.906000,0 days 00:25:44.735000,0 days 00:26:14.708000,0 days 00:26:55.614000,217.0,250.0,299.0,222.0,False,SOFT,5.0,True,Ferrari,0 days 00:25:19.475000,2019-06-08 18:10:19.540,1,,False,,False,True
0 days 00:28:06.814000,VET,5,0 days 00:01:11.200000,6.0,1.0,,,0 days 00:00:19.786000,0 days 00:00:22.796000,0 days 00:00:28.618000,0 days 00:27:15.400000,0 days 00:27:38.196000,0 days 00:28:06.814000,265.0,289.0,301.0,331.0,True,SOFT,6.0,True,Ferrari,0 days 00:26:55.614000,2019-06-08 18:11:55.679,1,,False,,False,True
0 days 00:40:55.711000,VET,5,,7.0,1.0,,0 days 00:29:31.868000,0 days 00:00:25.040000,0 days 00:00:29.407000,,0 days 00:28:31.871000,0 days 00:29:01.277000,,192.0,242.0,,192.0,False,SOFT,7.0,True,Ferrari,0 days 00:28:06.814000,2019-06-08 18:13:06.879,1,,False,,False,False
0 days 00:42:20.195000,VET,5,0 days 00:01:24.484000,8.0,2.0,0 days 00:40:57.049000,,0 days 00:00:25.735000,0 days 00:00:27.018000,0 days 00:00:31.731000,0 days 00:41:21.446000,0 days 00:41:48.464000,0 days 00:42:20.195000,226.0,257.0,302.0,293.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:40:55.711000,2019-06-08 18:25:55.776,1,,False,,False,False
0 days 00:43:31.504000,VET,5,0 days 00:01:11.309000,9.0,2.0,,,0 days 00:00:19.645000,0 days 00:00:22.915000,0 days 00:00:28.749000,0 days 00:42:39.840000,0 days 00:43:02.755000,0 days 00:43:31.504000,266.0,289.0,301.0,327.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:42:20.195000,2019-06-08 18:27:20.260,1,,False,,False,True
0 days 00:45:13.475000,VET,5,0 days 00:01:41.971000,10.0,2.0,,,0 days 00:00:26.450000,0 days 00:00:31.809000,0 days 00:00:43.712000,0 days 00:43:57.954000,0 days 00:44:29.763000,0 days 00:45:13.475000,188.0,175.0,300.0,119.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:43:31.504000,2019-06-08 18:28:31.569,1,,False,,False,True
0 days 00:46:24.617000,VET,5,0 days 00:01:11.142000,11.0,2.0,,,0 days 00:00:19.608000,0 days 00:00:22.960000,0 days 00:00:28.574000,0 days 00:45:33.083000,0 days 00:45:56.043000,0 days 00:46:24.617000,267.0,290.0,304.0,333.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:45:13.475000,2019-06-08 18:30:13.540,1,,False,,False,True
0 days 00:53:06.980000,VET,5,,12.0,2.0,,0 days 00:47:52.600000,0 days 00:00:26.741000,0 days 00:00:33.652000,,0 days 00:46:51.371000,0 days 00:47:25.004000,,191.0,248.0,,291.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:46:24.617000,2019-06-08 18:31:24.682,1,,False,,False,False
0 days 00:54:45.453000,VET,5,0 days 00:01:38.473000,13.0,3.0,0 days 00:53:08.329000,,0 days 00:00:26.899000,0 days 00:00:26.694000,0 days 00:00:44.880000,0 days 00:53:33.879000,0 days 00:54:00.573000,0 days 00:54:45.453000,223.0,260.0,300.0,104.0,False,SOFT,1.0,True,Ferrari,0 days 00:53:06.980000,2019-06-08 18:38:07.045,1,,False,,False,False
0 days 01:21:49.623000,VET,5,,14.0,3.0,,0 days 00:56:16.714000,0 days 00:00:19.682000,0 days 00:00:34.737000,,0 days 00:55:05.157000,0 days 00:55:39.882000,,267.0,205.0,,189.0,False,SOFT,2.0,True,Ferrari,0 days 00:54:45.453000,2019-06-08 18:39:45.518,125,,False,,False,False
0 days 01:23:21.143000,VET,5,0 days 00:01:31.520000,15.0,4.0,0 days 01:21:50.969000,,0 days 00:00:26.221000,0 days 00:00:28.803000,0 days 00:00:36.496000,0 days 01:22:15.844000,0 days 01:22:44.647000,0 days 01:23:21.143000,228.0,231.0,302.0,218.0,False,SOFT,1.0,True,Ferrari,0 days 01:21:49.623000,2019-06-08 19:06:49.688,1,,False,,False,False
0 days 01:24:31.824000,VET,5,0 days 00:01:10.681000,16.0,4.0,,,0 days 00:00:19.571000,0 days 00:00:22.661000,0 days 00:00:28.449000,0 days 01:23:40.714000,0 days 01:24:03.375000,0 days 01:24:31.824000,267.0,290.0,306.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:21.143000,2019-06-08 19:08:21.208,12,,False,,False,True
0 days 01:26:01.562000,VET,5,0 days 00:01:29.738000,17.0,4.0,,,0 days 00:00:26.718000,0 days 00:00:29.016000,0 days 00:00:34.004000,0 days 01:24:58.542000,0 days 01:25:27.558000,0 days 01:26:01.562000,215.0,254.0,301.0,240.0,False,SOFT,3.0,True,Ferrari,0 days 01:24:31.824000,2019-06-08 19:09:31.889,1,,False,,False,True
0 days 01:27:12.568000,VET,5,0 days 00:01:11.006000,18.0,4.0,,,0 days 00:00:19.622000,0 days 00:00:22.761000,0 days 00:00:28.623000,0 days 01:26:21.184000,0 days 01:26:43.945000,0 days 01:27:12.568000,266.0,289.0,294.0,329.0,False,SOFT,4.0,True,Ferrari,0 days 01:26:01.562000,2019-06-08 19:11:01.627,1,,False,,False,True
0 days 01:29:56.473000,VET,5,,19.0,4.0,,0 days 01:28:25.834000,0 days 00:00:22.053000,0 days 00:00:25.382000,,0 days 01:27:34.636000,0 days 01:28:00.032000,,238.0,254.0,,293.0,False,SOFT,5.0,True,Ferrari,0 days 01:27:12.568000,2019-06-08 19:12:12.633,1,,False,,False,False
0 days 01:31:17.688000,VET,5,0 days 00:01:21.215000,20.0,5.0,0 days 01:29:57.843000,,0 days 00:00:24.802000,0 days 00:00:25.698000,0 days 00:00:30.715000,0 days 01:30:21.275000,0 days 01:30:46.973000,0 days 01:31:17.688000,241.0,259.0,305.0,299.0,False,SOFT,1.0,True,Ferrari,0 days 01:29:56.473000,2019-06-08 19:14:56.538,1,,False,,False,False
0 days 01:32:27.928000,VET,5,0 days 00:01:10.240000,21.0,5.0,,,0 days 00:00:19.357000,0 days 00:00:22.427000,0 days 00:00:28.456000,0 days 01:31:37.045000,0 days 01:31:59.472000,0 days 01:32:27.928000,268.0,291.0,305.0,330.0,True,SOFT,2.0,True,Ferrari,0 days 01:31:17.688000,2019-06-08 19:16:17.753,1,,False,,False,True
0 days 01:34:16.865000,VET,5,0 days 00:01:48.937000,22.0,5.0,,0 days 01:33:56.600000,0 days 00:00:28.672000,0 days 00:00:29.836000,0 days 00:00:50.429000,0 days 01:32:56.600000,0 days 01:33:26.436000,0 days 01:34:16.865000,203.0,247.0,,283.0,False,SOFT,3.0,True,Ferrari,0 days 01:32:27.928000,2019-06-08 19:17:27.993,1,,False,,False,False
0 days 00:22:51.933000,HAM,44,0 days 00:01:31.553000,1.0,1.0,0 days 00:21:21.765000,,0 days 00:00:26.245000,0 days 00:00:26.598000,0 days 00:00:38.710000,0 days 00:21:46.662000,0 days 00:22:13.260000,0 days 00:22:52.073000,242.0,231.0,290.0,144.0,False,SOFT,1.0,True,Mercedes,0 days 00:21:21.765000,2019-06-08 18:06:21.830,1,,False,,False,False
