Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:48.957000,RUS,63,0 days 00:01:45.410000,1.0,1.0,0 days 00:15:06.573000,,0 days 00:00:37.367000,0 days 00:00:25.240000,0 days 00:00:42.803000,0 days 00:15:41.107000,0 days 00:16:06.345000,0 days 00:16:48.970000,244.0,256.0,295.0,177.0,False,SOFT,1.0,True,Mercedes,0 days 00:15:06.573000,2025-06-14 20:01:21.988,1,,False,,False,False
0 days 00:18:01.531000,RUS,63,0 days 00:01:12.574000,2.0,1.0,,,0 days 00:00:20.341000,0 days 00:00:22.887000,0 days 00:00:29.346000,0 days 00:17:09.298000,0 days 00:17:32.185000,0 days 00:18:01.531000,259.0,282.0,296.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 00:16:48.957000,2025-06-14 20:03:04.372,1,,False,,False,True
0 days 00:20:25.612000,RUS,63,0 days 00:02:24.081000,3.0,1.0,,0 days 00:19:32.725000,0 days 00:00:30.477000,0 days 00:00:31.478000,0 days 00:01:22.126000,0 days 00:18:32.008000,0 days 00:19:03.486000,0 days 00:20:25.612000,163.0,252.0,,286.0,False,SOFT,3.0,True,Mercedes,0 days 00:18:01.531000,2025-06-14 20:04:16.946,1,,False,,False,False
0 days 00:22:15.476000,RUS,63,0 days 00:01:49.864000,4.0,2.0,0 days 00:20:27.069000,,0 days 00:00:31.301000,0 days 00:00:34.780000,0 days 00:00:43.783000,0 days 00:20:56.913000,0 days 00:21:31.693000,0 days 00:22:15.476000,168.0,241.0,295.0,179.0,False,SOFT,4.0,False,Mercedes,0 days 00:20:25.612000,2025-06-14 20:06:41.027,1,,False,,False,False
0 days 00:23:27.842000,RUS,63,0 days 00:01:12.366000,5.0,2.0,,,0 days 00:00:20.492000,0 days 00:00:22.782000,0 days 00:00:29.092000,0 days 00:22:35.968000,0 days 00:22:58.750000,0 days 00:23:27.842000,261.0,283.0,297.0,329.0,True,SOFT,5.0,False,Mercedes,0 days 00:22:15.476000,2025-06-14 20:08:30.891,1,,False,,False,True
0 days 00:35:40.158000,RUS,63,,6.0,2.0,,0 days 00:24:57.765000,0 days 00:00:26.745000,0 days 00:00:33.036000,,0 days 00:23:54.699000,0 days 00:24:27.730000,,180.0,231.0,,295.0,False,SOFT,6.0,False,Mercedes,0 days 00:23:27.842000,2025-06-14 20:09:43.257,15,,False,,False,False
0 days 00:37:19.202000,RUS,63,0 days 00:01:39.044000,7.0,3.0,0 days 00:35:43.729000,,0 days 00:00:42.075000,0 days 00:00:25.629000,0 days 00:00:31.340000,0 days 00:36:22.233000,0 days 00:36:47.862000,0 days 00:37:19.202000,233.0,276.0,296.0,306.0,False,SOFT,1.0,True,Mercedes,0 days 00:35:43.729000,2025-06-14 20:21:59.144,1,,False,,False,False
0 days 00:38:31.277000,RUS,63,0 days 00:01:12.075000,8.0,3.0,,,0 days 00:00:20.236000,0 days 00:00:22.665000,0 days 00:00:29.174000,0 days 00:37:39.438000,0 days 00:38:02.103000,0 days 00:38:31.277000,264.0,284.0,295.0,329.0,True,SOFT,2.0,True,Mercedes,0 days 00:37:19.202000,2025-06-14 20:23:34.617,1,,False,,False,True
0 days 00:51:21.662000,RUS,63,,9.0,3.0,,0 days 00:40:08.266000,0 days 00:00:27.586000,0 days 00:00:34.865000,,0 days 00:38:58.981000,0 days 00:39:33.840000,,185.0,163.0,,265.0,False,SOFT,3.0,True,Mercedes,0 days 00:38:31.277000,2025-06-14 20:24:46.692,1,,False,,False,False
0 days 00:52:49.412000,RUS,63,0 days 00:01:27.750000,10.0,4.0,0 days 00:51:23.121000,,0 days 00:00:25.577000,0 days 00:00:27.361000,0 days 00:00:34.812000,0 days 00:51:47.239000,0 days 00:52:14.600000,0 days 00:52:49.412000,218.0,262.0,295.0,276.0,False,SOFT,4.0,False,Mercedes,0 days 00:51:21.662000,2025-06-14 20:37:37.077,1,,False,,False,False
0 days 00:54:01.372000,RUS,63,0 days 00:01:11.960000,11.0,4.0,,,0 days 00:00:20.153000,0 days 00:00:22.770000,0 days 00:00:29.037000,0 days 00:53:09.565000,0 days 00:53:32.335000,0 days 00:54:01.372000,263.0,282.0,294.0,327.0,True,SOFT,5.0,False,Mercedes,0 days 00:52:49.412000,2025-06-14 20:39:04.827,1,,False,,False,True
