Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:55:24.300000,RAI,7,0 days 00:01:31.057000,17.0,4.0,,,0 days 00:00:22.552000,0 days 00:00:27.736000,0 days 00:00:40.769000,0 days 00:54:15.795000,0 days 00:54:43.531000,0 days 00:55:24.300000,114.0,290.0,304.0,330.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:53:53.243000,2018-06-23 14:49:53.309,1,,False,,False,True
0 days 01:03:19.202000,RAI,7,,18.0,4.0,,0 days 00:57:28.078000,0 days 00:00:26.781000,,,0 days 00:55:51.145000,,,105.0,,,268.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:55:24.300000,2018-06-23 14:51:24.366,125,,False,,False,False
0 days 01:05:03.521000,RAI,7,0 days 00:01:44.319000,19.0,5.0,0 days 01:03:19.889000,,0 days 00:00:29.472000,0 days 00:00:30.105000,0 days 00:00:44.742000,0 days 01:03:48.674000,0 days 01:04:18.779000,0 days 01:05:03.521000,115.0,272.0,303.0,307.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 01:03:19.889000,2018-06-23 14:59:19.955,1,,False,,False,False
0 days 01:06:51.497000,RAI,7,0 days 00:01:47.976000,20.0,5.0,,,0 days 00:00:24.575000,0 days 00:00:33.808000,0 days 00:00:49.593000,0 days 01:05:28.096000,0 days 01:06:01.904000,0 days 01:06:51.497000,75.0,255.0,302.0,256.0,False,ULTRASOFT,2.0,True,Ferrari,0 days 01:05:03.521000,2018-06-23 15:01:03.587,1,,False,,False,True
0 days 01:08:34.574000,RAI,7,0 days 00:01:43.077000,21.0,5.0,,,0 days 00:00:23.071000,0 days 00:00:31.969000,0 days 00:00:48.037000,0 days 01:07:14.568000,0 days 01:07:46.537000,0 days 01:08:34.574000,111.0,254.0,307.0,205.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 01:06:51.497000,2018-06-23 15:02:51.563,1,,False,,False,True
0 days 01:10:17.976000,RAI,7,,22.0,5.0,,0 days 01:10:17.976000,0 days 00:00:22.693000,0 days 00:00:33.930000,,0 days 01:08:57.341000,0 days 01:09:31.204000,,107.0,229.0,,310.0,False,ULTRASOFT,4.0,True,Ferrari,0 days 01:08:34.574000,2018-06-23 15:04:34.640,1,,False,,False,False
0 days 00:06:51.313000,SAI,55,0 days 00:02:15.866000,1.0,1.0,0 days 00:04:36.344000,,0 days 00:00:34.789000,0 days 00:00:37.495000,0 days 00:01:03.582000,0 days 00:05:10.242000,0 days 00:05:47.773000,0 days 00:06:51.454000,99.0,258.0,298.0,310.0,False,ULTRASOFT,1.0,True,Renault,0 days 00:04:36.344000,2018-06-23 14:00:36.410,,,False,,False,False
0 days 00:08:24.432000,SAI,55,0 days 00:01:33.119000,2.0,1.0,,,0 days 00:00:23.261000,0 days 00:00:28.405000,0 days 00:00:41.453000,0 days 00:07:14.574000,0 days 00:07:42.979000,0 days 00:08:24.432000,118.0,285.0,298.0,325.0,True,ULTRASOFT,2.0,True,Renault,0 days 00:06:51.313000,2018-06-23 14:02:51.379,,,False,,False,False
0 days 00:10:36.249000,SAI,55,0 days 00:02:11.817000,3.0,1.0,,,0 days 00:00:33.019000,0 days 00:00:37.378000,0 days 00:01:01.420000,0 days 00:08:57.451000,0 days 00:09:34.829000,0 days 00:10:36.249000,85.0,252.0,300.0,279.0,False,ULTRASOFT,3.0,True,Renault,0 days 00:08:24.432000,2018-06-23 14:04:24.498,,,False,,False,False
0 days 00:12:08.973000,SAI,55,0 days 00:01:32.724000,4.0,1.0,,,0 days 00:00:23.057000,0 days 00:00:28.286000,0 days 00:00:41.381000,0 days 00:10:59.306000,0 days 00:11:27.592000,0 days 00:12:08.973000,122.0,283.0,296.0,328.0,True,ULTRASOFT,4.0,True,Renault,0 days 00:10:36.249000,2018-06-23 14:06:36.315,,,False,,False,False
0 days 00:15:52.931000,SAI,55,,5.0,1.0,,0 days 00:13:54.177000,0 days 00:00:29.207000,0 days 00:00:32.183000,,0 days 00:12:38.183000,0 days 00:13:10.404000,,97.0,257.0,,297.0,False,ULTRASOFT,5.0,True,Renault,0 days 00:12:08.973000,2018-06-23 14:08:09.039,,,False,,False,False
