Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:46.955000,HAM,44,,1.0,,0 days 00:15:54.864000,,,0 days 00:00:50.671000,0 days 00:00:33.630000,,0 days 00:17:13.337000,0 days 00:17:47.044000,319.0,192.0,231.0,293.0,False,nan,,True,Mercedes,0 days 00:15:54.864000,2018-08-25 13:00:54.871,1,,False,,False,False
0 days 00:19:30.498000,HAM,44,0 days 00:01:43.543000,2.0,1.0,,,0 days 00:00:30.654000,0 days 00:00:44.316000,0 days 00:00:28.573000,0 days 00:18:17.609000,0 days 00:19:01.925000,0 days 00:19:30.498000,329.0,216.0,226.0,307.0,True,SOFT,1.0,True,Mercedes,0 days 00:17:46.955000,2018-08-25 13:02:46.962,1,,False,,False,True
0 days 00:21:48.303000,HAM,44,0 days 00:02:17.805000,3.0,1.0,,,0 days 00:00:41.802000,0 days 00:00:57.009000,0 days 00:00:38.994000,0 days 00:20:12.300000,0 days 00:21:09.309000,0 days 00:21:48.303000,287.0,172.0,231.0,200.0,False,SOFT,2.0,True,Mercedes,0 days 00:19:30.498000,2018-08-25 13:04:30.505,1,,False,,False,True
0 days 00:23:40.852000,HAM,44,0 days 00:01:52.549000,4.0,1.0,,,0 days 00:00:34.816000,0 days 00:00:45.220000,0 days 00:00:32.513000,0 days 00:22:23.119000,0 days 00:23:08.339000,0 days 00:23:40.852000,316.0,191.0,229.0,283.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:48.303000,2018-08-25 13:06:48.310,1,,False,,False,True
0 days 00:25:23.829000,HAM,44,0 days 00:01:42.977000,5.0,1.0,,,0 days 00:00:30.645000,0 days 00:00:43.892000,0 days 00:00:28.440000,0 days 00:24:11.497000,0 days 00:24:55.389000,0 days 00:25:23.829000,332.0,214.0,226.0,311.0,True,SOFT,4.0,True,Mercedes,0 days 00:23:40.852000,2018-08-25 13:08:40.859,1,,False,,False,True
0 days 00:27:36.592000,HAM,44,0 days 00:02:12.763000,6.0,1.0,,0 days 00:27:32.038000,0 days 00:00:34.983000,0 days 00:00:57.443000,0 days 00:00:40.337000,0 days 00:25:58.812000,0 days 00:26:56.255000,0 days 00:27:36.592000,266.0,163.0,,265.0,False,SOFT,5.0,True,Mercedes,0 days 00:25:23.829000,2018-08-25 13:10:23.836,1,,False,,False,False
0 days 00:42:25.273000,HAM,44,,7.0,2.0,0 days 00:40:25.678000,,,0 days 00:00:53.050000,0 days 00:00:37.961000,,0 days 00:41:47.387000,0 days 00:42:25.344000,314.0,191.0,235.0,278.0,False,SUPERSOFT,1.0,True,Mercedes,0 days 00:27:36.592000,2018-08-25 13:12:36.599,1,,False,,False,False
0 days 00:44:07.084000,HAM,44,0 days 00:01:41.811000,8.0,2.0,,,0 days 00:00:30.239000,0 days 00:00:43.256000,0 days 00:00:28.316000,0 days 00:42:55.512000,0 days 00:43:38.768000,0 days 00:44:07.084000,332.0,216.0,229.0,311.0,True,SUPERSOFT,2.0,True,Mercedes,0 days 00:42:25.273000,2018-08-25 13:27:25.280,1,,False,,False,True
0 days 00:46:17.005000,HAM,44,0 days 00:02:09.921000,9.0,2.0,,0 days 00:46:13.050000,0 days 00:00:36.521000,0 days 00:00:52.558000,0 days 00:00:40.842000,0 days 00:44:43.605000,0 days 00:45:36.163000,0 days 00:46:17.005000,277.0,181.0,,234.0,False,SUPERSOFT,3.0,True,Mercedes,0 days 00:44:07.084000,2018-08-25 13:29:07.091,1,,False,,False,False
0 days 00:53:27.817000,HAM,44,,10.0,3.0,0 days 00:51:19.817000,,,0 days 00:00:50.646000,0 days 00:00:48.362000,,0 days 00:52:39.471000,0 days 00:53:27.850000,312.0,179.0,235.0,296.0,False,SUPERSOFT,1.0,True,Mercedes,0 days 00:46:17.005000,2018-08-25 13:31:17.012,12,,False,,False,False
0 days 00:55:09.370000,HAM,44,0 days 00:01:41.553000,11.0,3.0,,,0 days 00:00:30.217000,0 days 00:00:43.115000,0 days 00:00:28.221000,0 days 00:53:58.034000,0 days 00:54:41.149000,0 days 00:55:09.370000,334.0,220.0,229.0,311.0,True,SUPERSOFT,2.0,True,Mercedes,0 days 00:53:27.817000,2018-08-25 13:38:27.824,21,,False,,False,True
0 days 00:57:35.702000,HAM,44,0 days 00:02:26.332000,12.0,3.0,,0 days 00:57:30.448000,0 days 00:00:38.100000,0 days 00:00:58.577000,0 days 00:00:49.655000,0 days 00:55:47.470000,0 days 00:56:46.047000,0 days 00:57:35.702000,231.0,155.0,,218.0,False,SUPERSOFT,3.0,True,Mercedes,0 days 00:55:09.370000,2018-08-25 13:40:09.377,12,,False,,False,False
0 days 01:05:05.747000,HAM,44,,13.0,3.0,0 days 01:03:04.927000,0 days 01:05:01.515000,,0 days 00:00:49.643000,0 days 00:00:43.921000,,0 days 01:04:21.826000,0 days 01:05:05.814000,323.0,188.0,,282.0,False,SUPERSOFT,4.0,True,Mercedes,0 days 00:57:35.702000,2018-08-25 13:42:35.709,21,,False,,False,False
0 days 01:09:09.653000,HAM,44,,14.0,4.0,0 days 01:07:04.024000,,,0 days 00:00:59.497000,0 days 00:00:35.231000,,0 days 01:08:34.469000,0 days 01:09:09.706000,304.0,173.0,217.0,240.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:05:05.747000,2018-08-25 13:50:05.754,1,,False,,False,False
0 days 01:11:12.706000,HAM,44,0 days 00:02:03.053000,15.0,4.0,,,0 days 00:00:35.929000,0 days 00:00:55.257000,0 days 00:00:31.867000,0 days 01:09:45.582000,0 days 01:10:40.839000,0 days 01:11:12.706000,305.0,179.0,213.0,264.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 01:09:09.653000,2018-08-25 13:54:09.660,1,,False,,False,True
0 days 01:13:20.267000,HAM,44,0 days 00:02:07.561000,16.0,4.0,,,0 days 00:00:33.371000,0 days 00:00:56.768000,0 days 00:00:37.422000,0 days 01:11:46.077000,0 days 01:12:42.845000,0 days 01:13:20.267000,298.0,177.0,220.0,284.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 01:11:12.706000,2018-08-25 13:56:12.713,1,,False,,False,True
0 days 01:15:18.446000,HAM,44,0 days 00:01:58.179000,17.0,4.0,,,0 days 00:00:33.242000,0 days 00:00:53.382000,0 days 00:00:31.555000,0 days 01:13:53.509000,0 days 01:14:46.891000,0 days 01:15:18.446000,316.0,169.0,214.0,293.0,True,INTERMEDIATE,4.0,True,Mercedes,0 days 01:13:20.267000,2018-08-25 13:58:20.274,1,,False,,False,True
0 days 01:17:49.513000,HAM,44,,18.0,4.0,,,0 days 00:00:42.312000,0 days 00:01:02.849000,0 days 00:00:45.864000,0 days 01:16:00.816000,0 days 01:17:03.649000,0 days 01:17:49.558000,275.0,154.0,53.0,230.0,False,INTERMEDIATE,5.0,True,Mercedes,0 days 01:15:18.446000,2018-08-25 14:00:18.453,1,,False,,False,False
0 days 00:18:14.387000,VET,5,,1.0,,0 days 00:16:18.008000,,,0 days 00:00:49.637000,0 days 00:00:38.793000,,0 days 00:17:35.634000,0 days 00:18:14.484000,290.0,204.0,234.0,283.0,False,nan,,True,Ferrari,0 days 00:16:18.008000,2018-08-25 13:01:18.015,1,,False,,False,False
0 days 00:19:57.422000,VET,5,0 days 00:01:43.035000,2.0,1.0,,,0 days 00:00:30.274000,0 days 00:00:44.326000,0 days 00:00:28.435000,0 days 00:18:44.661000,0 days 00:19:28.987000,0 days 00:19:57.422000,334.0,208.0,229.0,311.0,True,SOFT,1.0,True,Ferrari,0 days 00:18:14.387000,2018-08-25 13:03:14.394,1,,False,,False,True
0 days 00:22:24.880000,VET,5,0 days 00:02:27.458000,3.0,1.0,,,0 days 00:00:37.337000,0 days 00:01:02.940000,0 days 00:00:47.181000,0 days 00:20:34.759000,0 days 00:21:37.699000,0 days 00:22:24.880000,247.0,126.0,236.0,234.0,False,SOFT,2.0,True,Ferrari,0 days 00:19:57.422000,2018-08-25 13:04:57.429,1,,False,,False,True
0 days 00:24:08.397000,VET,5,0 days 00:01:43.517000,4.0,1.0,,,0 days 00:00:30.726000,0 days 00:00:44.578000,0 days 00:00:28.213000,0 days 00:22:55.606000,0 days 00:23:40.184000,0 days 00:24:08.397000,333.0,213.0,230.0,234.0,False,SOFT,3.0,True,Ferrari,0 days 00:22:24.880000,2018-08-25 13:07:24.887,1,,False,,False,True
0 days 00:26:16.799000,VET,5,0 days 00:02:08.402000,5.0,1.0,,0 days 00:26:12.444000,0 days 00:00:35.478000,0 days 00:00:55.124000,0 days 00:00:37.800000,0 days 00:24:43.875000,0 days 00:25:38.999000,0 days 00:26:16.799000,251.0,192.0,,248.0,False,SOFT,4.0,True,Ferrari,0 days 00:24:08.397000,2018-08-25 13:09:08.404,1,,False,,False,False
