Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:50:36.429000,HAM,44,,1.0,1.0,0 days 00:48:59.305000,,,0 days 00:00:37.211000,0 days 00:00:31.945000,,0 days 00:50:04.489000,0 days 00:50:36.698000,246.0,174.0,308.0,,False,SOFT,1.0,True,Mercedes,0 days 00:48:59.305000,2020-10-24 13:33:59.505,1,,False,,False,False
0 days 00:52:00.416000,HAM,44,0 days 00:01:23.987000,2.0,1.0,,,0 days 00:00:22.577000,0 days 00:00:33.483000,0 days 00:00:27.927000,0 days 00:50:59.006000,0 days 00:51:32.489000,0 days 00:52:00.416000,275.0,149.0,303.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 00:50:36.429000,2020-10-24 13:35:36.629,1,,False,,False,True
0 days 00:53:17.530000,HAM,44,0 days 00:01:17.114000,3.0,1.0,,,0 days 00:00:22.420000,0 days 00:00:29.491000,0 days 00:00:25.203000,0 days 00:52:22.836000,0 days 00:52:52.327000,0 days 00:53:17.530000,275.0,200.0,305.0,321.0,True,SOFT,3.0,True,Mercedes,0 days 00:52:00.416000,2020-10-24 13:37:00.616,12,,False,,False,True
0 days 00:54:52.737000,HAM,44,0 days 00:01:35.207000,4.0,1.0,,,0 days 00:00:29.567000,0 days 00:00:37.757000,0 days 00:00:27.883000,0 days 00:53:47.097000,0 days 00:54:24.854000,0 days 00:54:52.737000,237.0,167.0,305.0,297.0,False,SOFT,4.0,True,Mercedes,0 days 00:53:17.530000,2020-10-24 13:38:17.730,1,,False,,False,True
0 days 00:56:09.565000,HAM,44,0 days 00:01:16.828000,5.0,1.0,,,0 days 00:00:22.274000,0 days 00:00:29.309000,0 days 00:00:25.245000,0 days 00:55:15.011000,0 days 00:55:44.320000,0 days 00:56:09.565000,276.0,201.0,304.0,323.0,True,SOFT,5.0,True,Mercedes,0 days 00:54:52.737000,2020-10-24 13:39:52.937,1,,False,,False,True
0 days 00:57:39.513000,HAM,44,0 days 00:01:29.948000,6.0,1.0,,0 days 00:57:36.517000,0 days 00:00:25.593000,0 days 00:00:33.368000,0 days 00:00:30.987000,0 days 00:56:35.158000,0 days 00:57:08.526000,0 days 00:57:39.513000,252.0,187.0,,296.0,False,SOFT,6.0,True,Mercedes,0 days 00:56:09.565000,2020-10-24 13:41:09.765,1,,False,,False,False
0 days 01:11:57.762000,HAM,44,,7.0,2.0,0 days 01:10:29.305000,,,0 days 00:00:33.781000,0 days 00:00:29.039000,,0 days 01:11:28.730000,0 days 01:11:57.813000,253.0,185.0,302.0,296.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:57:39.513000,2020-10-24 13:42:39.713,1,,False,,False,False
0 days 01:13:20.685000,HAM,44,0 days 00:01:22.923000,8.0,2.0,,,0 days 00:00:22.278000,0 days 00:00:29.592000,0 days 00:00:31.053000,0 days 01:12:20.040000,0 days 01:12:49.632000,0 days 01:13:20.685000,277.0,200.0,262.0,321.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:11:57.762000,2020-10-24 13:56:57.962,1,,False,,False,True
0 days 01:14:52.174000,HAM,44,0 days 00:01:31.489000,9.0,2.0,,,0 days 00:00:28.345000,0 days 00:00:35.958000,0 days 00:00:27.186000,0 days 01:13:49.030000,0 days 01:14:24.988000,0 days 01:14:52.174000,184.0,173.0,304.0,201.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:13:20.685000,2020-10-24 13:58:20.885,1,,False,,False,True
0 days 01:16:08.998000,HAM,44,0 days 00:01:16.824000,10.0,2.0,,,0 days 00:00:22.379000,0 days 00:00:29.378000,0 days 00:00:25.067000,0 days 01:15:14.553000,0 days 01:15:43.931000,0 days 01:16:08.998000,278.0,201.0,305.0,321.0,True,MEDIUM,4.0,True,Mercedes,0 days 01:14:52.174000,2020-10-24 13:59:52.374,1,,False,,False,True
