Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:17.451000,RUS,63,0 days 00:01:51.876000,1.0,1.0,0 days 00:16:28.955000,,0 days 00:00:41.997000,0 days 00:00:19.351000,0 days 00:00:50.528000,0 days 00:17:07.744000,0 days 00:17:26.947000,0 days 00:18:17.713000,263.0,287.0,273.0,199.0,False,SOFT,1.0,True,Mercedes,0 days 00:16:28.955000,2026-03-07 05:03:47.667,1,,False,,False,False
0 days 00:19:37.291000,RUS,63,0 days 00:01:19.840000,2.0,1.0,,,0 days 00:00:27.990000,0 days 00:00:17.599000,0 days 00:00:34.251000,0 days 00:18:45.441000,0 days 00:19:03.040000,0 days 00:19:37.291000,265.0,278.0,294.0,292.0,True,SOFT,2.0,True,Mercedes,0 days 00:18:17.451000,2026-03-07 05:05:36.163,1,,False,,False,True
0 days 00:21:38.860000,RUS,63,0 days 00:02:01.569000,3.0,1.0,,0 days 00:21:24.695000,0 days 00:00:40.873000,0 days 00:00:22.025000,0 days 00:00:58.671000,0 days 00:20:18.164000,0 days 00:20:40.189000,0 days 00:21:38.860000,222.0,283.0,,201.0,False,SOFT,3.0,True,Mercedes,0 days 00:19:37.291000,2026-03-07 05:06:56.003,1,,False,,False,False
0 days 00:32:02.050000,RUS,63,,4.0,2.0,0 days 00:21:42.023000,0 days 00:23:38.517000,0 days 00:00:46.779000,0 days 00:00:22.489000,,0 days 00:22:25.770000,0 days 00:22:48.254000,,230.0,284.0,,129.0,False,SOFT,4.0,False,Mercedes,0 days 00:21:38.860000,2026-03-07 05:08:57.572,125,,False,,False,False
0 days 00:33:52.363000,RUS,63,0 days 00:01:50.313000,5.0,3.0,0 days 00:32:12.182000,,0 days 00:00:52.390000,0 days 00:00:19.564000,0 days 00:00:38.359000,0 days 00:32:54.440000,0 days 00:33:14.004000,0 days 00:33:52.363000,246.0,284.0,279.0,136.0,False,SOFT,5.0,False,Mercedes,0 days 00:32:12.182000,2026-03-07 05:19:30.894,1,,False,,False,False
0 days 00:35:25.609000,RUS,63,0 days 00:01:33.246000,6.0,3.0,,,0 days 00:00:31.116000,0 days 00:00:23.100000,0 days 00:00:39.030000,0 days 00:34:23.479000,0 days 00:34:46.579000,0 days 00:35:25.609000,267.0,281.0,274.0,248.0,False,SOFT,6.0,False,Mercedes,0 days 00:33:52.363000,2026-03-07 05:21:11.075,1,,False,,False,True
0 days 00:36:45.116000,RUS,63,0 days 00:01:19.507000,7.0,3.0,,,0 days 00:00:27.908000,0 days 00:00:17.413000,0 days 00:00:34.186000,0 days 00:35:53.517000,0 days 00:36:10.930000,0 days 00:36:45.116000,266.0,282.0,301.0,296.0,True,SOFT,7.0,False,Mercedes,0 days 00:35:25.609000,2026-03-07 05:22:44.321,1,,False,,False,True
0 days 00:48:11.335000,RUS,63,,8.0,3.0,,0 days 00:38:31.168000,0 days 00:00:44.215000,0 days 00:00:22.959000,,0 days 00:37:29.408000,0 days 00:37:52.449000,,204.0,281.0,,240.0,False,SOFT,8.0,False,Mercedes,0 days 00:36:45.116000,2026-03-07 05:24:03.828,12,,False,,False,False
0 days 00:50:30.583000,RUS,63,0 days 00:02:19.248000,9.0,4.0,0 days 00:48:36.384000,,0 days 00:01:01.667000,0 days 00:00:23.062000,0 days 00:00:54.519000,0 days 00:49:13.002000,0 days 00:49:36.064000,0 days 00:50:30.583000,254.0,171.0,274.0,197.0,False,SOFT,1.0,True,Mercedes,0 days 00:48:11.335000,2026-03-07 05:35:30.047,1,,True,TRACK LIMITS AT TURN 9 LAP 10 ,False,False
0 days 00:51:49.517000,RUS,63,0 days 00:01:18.934000,10.0,4.0,,,0 days 00:00:27.816000,0 days 00:00:17.287000,0 days 00:00:33.831000,0 days 00:50:58.399000,0 days 00:51:15.686000,0 days 00:51:49.517000,273.0,285.0,301.0,294.0,True,SOFT,2.0,True,Mercedes,0 days 00:50:30.583000,2026-03-07 05:37:49.295,1,,False,,False,True
0 days 00:55:59.334000,RUS,63,,11.0,4.0,,0 days 00:53:24.879000,0 days 00:00:33.193000,0 days 00:00:20.833000,,0 days 00:52:22.827000,0 days 00:52:43.602000,,252.0,263.0,,231.0,False,SOFT,3.0,True,Mercedes,0 days 00:51:49.517000,2026-03-07 05:39:08.229,1,,False,,False,False
0 days 00:57:47.988000,RUS,63,0 days 00:01:48.654000,12.0,5.0,0 days 00:56:04.110000,,0 days 00:00:48.833000,0 days 00:00:20.916000,0 days 00:00:38.905000,0 days 00:56:48.167000,0 days 00:57:09.083000,0 days 00:57:47.988000,250.0,282.0,274.0,134.0,False,SOFT,4.0,False,Mercedes,0 days 00:55:59.334000,2026-03-07 05:43:18.046,1,,False,,False,False
0 days 00:59:06.975000,RUS,63,0 days 00:01:18.987000,13.0,5.0,,,0 days 00:00:27.662000,0 days 00:00:17.426000,0 days 00:00:33.899000,0 days 00:58:15.650000,0 days 00:58:33.076000,0 days 00:59:06.975000,268.0,280.0,297.0,294.0,False,SOFT,5.0,False,Mercedes,0 days 00:57:47.988000,2026-03-07 05:45:06.700,1,,False,,False,True
0 days 01:12:32.018000,RUS,63,,14.0,5.0,,0 days 01:00:43.685000,0 days 00:00:34.526000,0 days 00:00:20.997000,,0 days 00:59:41.480000,0 days 01:00:02.482000,,249.0,279.0,,212.0,False,SOFT,6.0,False,Mercedes,0 days 00:59:06.975000,2026-03-07 05:46:25.687,12,,False,,False,False
0 days 01:14:20.101000,RUS,63,0 days 00:01:48.083000,15.0,6.0,0 days 01:12:36.744000,,0 days 00:00:47.304000,0 days 00:00:19.118000,0 days 00:00:41.661000,0 days 01:13:19.322000,0 days 01:13:38.440000,0 days 01:14:20.101000,256.0,282.0,278.0,144.0,False,SOFT,1.0,True,Mercedes,0 days 01:12:32.018000,2026-03-07 05:59:50.730,1,,False,,False,False
0 days 01:22:50.956000,RUS,63,,16.0,6.0,,0 days 01:15:57.248000,0 days 00:00:27.522000,,,0 days 01:14:47.713000,,,269.0,,,297.0,False,SOFT,2.0,True,Mercedes,0 days 01:14:20.101000,2026-03-07 06:01:38.813,152,,False,,False,False
0 days 01:24:35.583000,RUS,63,,17.0,7.0,0 days 01:22:50.956000,,,0 days 00:00:21.850000,0 days 00:00:44.759000,,0 days 01:23:50.847000,0 days 01:24:35.757000,162.0,251.0,276.0,181.0,False,SOFT,2.0,False,Mercedes,0 days 01:22:50.956000,2026-03-07 06:10:09.668,1,,False,,False,False
0 days 01:25:54.667000,RUS,63,0 days 00:01:19.084000,18.0,7.0,,,0 days 00:00:27.674000,0 days 00:00:17.488000,0 days 00:00:33.922000,0 days 01:25:03.257000,0 days 01:25:20.745000,0 days 01:25:54.667000,269.0,274.0,298.0,293.0,True,SOFT,3.0,False,Mercedes,0 days 01:24:35.583000,2026-03-07 06:11:54.295,1,,False,,False,True
