Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:29.424000,NOR,4,,1.0,1.0,0 days 00:15:48.601000,0 days 00:18:26.047000,,0 days 00:00:48.911000,0 days 00:01:02.335000,,0 days 00:17:27.089000,0 days 00:18:29.584000,116.0,151.0,,203.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:15:48.601000,2025-11-22 04:00:55.891,12,,False,,False,False
0 days 00:21:05.897000,NOR,4,,2.0,2.0,0 days 00:18:53.465000,,0 days 00:01:03.459000,0 days 00:00:44.297000,0 days 00:00:48.742000,0 days 00:19:32.859000,0 days 00:20:17.184000,0 days 00:21:05.992000,124.0,164.0,210.0,184.0,False,WET,1.0,True,McLaren,0 days 00:18:29.424000,2025-11-22 04:03:36.714,12,,False,,False,False
0 days 00:23:08.949000,NOR,4,0 days 00:02:03.052000,3.0,2.0,,,0 days 00:00:36.169000,0 days 00:00:42.309000,0 days 00:00:44.574000,0 days 00:21:42.066000,0 days 00:22:24.375000,0 days 00:23:08.949000,130.0,170.0,213.0,201.0,True,WET,2.0,True,McLaren,0 days 00:21:05.897000,2025-11-22 04:06:13.187,1,,False,,False,True
0 days 00:25:11.735000,NOR,4,0 days 00:02:02.786000,4.0,2.0,,,0 days 00:00:35.068000,0 days 00:00:41.605000,0 days 00:00:46.113000,0 days 00:23:44.017000,0 days 00:24:25.622000,0 days 00:25:11.735000,135.0,169.0,236.0,152.0,True,WET,3.0,True,McLaren,0 days 00:23:08.949000,2025-11-22 04:08:16.239,12,,False,,False,True
0 days 00:27:09.377000,NOR,4,0 days 00:01:57.642000,5.0,2.0,,,0 days 00:00:33.842000,0 days 00:00:40.548000,0 days 00:00:43.252000,0 days 00:25:45.577000,0 days 00:26:26.125000,0 days 00:27:09.377000,137.0,182.0,249.0,216.0,True,WET,4.0,True,McLaren,0 days 00:25:11.735000,2025-11-22 04:10:19.025,12,,False,,False,True
0 days 00:29:05.454000,NOR,4,0 days 00:01:56.077000,6.0,2.0,,,0 days 00:00:33.578000,0 days 00:00:39.998000,0 days 00:00:42.501000,0 days 00:27:42.955000,0 days 00:28:22.953000,0 days 00:29:05.454000,141.0,179.0,258.0,221.0,True,WET,5.0,True,McLaren,0 days 00:27:09.377000,2025-11-22 04:12:16.667,21,,False,,False,True
0 days 00:31:00.927000,NOR,4,0 days 00:01:55.473000,7.0,2.0,,,0 days 00:00:32.964000,0 days 00:00:39.404000,0 days 00:00:43.105000,0 days 00:29:38.418000,0 days 00:30:17.822000,0 days 00:31:00.927000,144.0,178.0,259.0,211.0,True,WET,6.0,True,McLaren,0 days 00:29:05.454000,2025-11-22 04:14:12.744,1,,False,,False,True
0 days 00:33:07.849000,NOR,4,0 days 00:02:06.922000,8.0,2.0,,0 days 00:33:04.146000,0 days 00:00:33.015000,0 days 00:00:39.556000,0 days 00:00:54.351000,0 days 00:31:33.942000,0 days 00:32:13.498000,0 days 00:33:07.849000,143.0,176.0,,183.0,False,WET,7.0,True,McLaren,0 days 00:31:00.927000,2025-11-22 04:16:08.217,12,,False,,False,False
0 days 00:47:55.067000,NOR,4,,9.0,3.0,0 days 00:45:55.865000,,,0 days 00:00:41.500000,0 days 00:00:41.984000,,0 days 00:47:13.266000,0 days 00:47:55.103000,131.0,173.0,265.0,223.0,False,WET,1.0,True,McLaren,0 days 00:33:07.849000,2025-11-22 04:18:15.139,12,,False,,False,False
0 days 00:49:48.369000,NOR,4,0 days 00:01:53.302000,10.0,3.0,,,0 days 00:00:32.712000,0 days 00:00:38.589000,0 days 00:00:42.001000,0 days 00:48:27.779000,0 days 00:49:06.368000,0 days 00:49:48.369000,141.0,185.0,268.0,250.0,True,WET,2.0,True,McLaren,0 days 00:47:55.067000,2025-11-22 04:33:02.357,1,,False,,False,True
