Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:30:28.474000,GAS,10,,1.0,1.0,0 days 00:19:01.643000,0 days 00:21:34.787000,,,,,,,290.0,,,249.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:19:01.643000,2019-08-31 13:04:01.857,15,,False,,False,False
0 days 00:33:11.386000,GAS,10,,2.0,2.0,0 days 00:30:28.474000,,,0 days 00:01:05.830000,0 days 00:01:02.289000,,0 days 00:32:09.186000,0 days 00:33:11.694000,297.0,142.0,219.0,228.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:30:28.474000,2019-08-31 13:15:28.688,1,,False,,False,False
0 days 00:34:57.821000,GAS,10,0 days 00:01:46.435000,3.0,2.0,,,0 days 00:00:31.305000,0 days 00:00:45.661000,0 days 00:00:29.469000,0 days 00:33:42.691000,0 days 00:34:28.352000,0 days 00:34:57.821000,330.0,203.0,223.0,306.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:33:11.386000,2019-08-31 13:18:11.600,1,,False,,False,True
0 days 00:37:04.742000,GAS,10,0 days 00:02:06.921000,4.0,2.0,,0 days 00:37:01.028000,0 days 00:00:35.286000,0 days 00:00:54.776000,0 days 00:00:36.859000,0 days 00:35:33.107000,0 days 00:36:27.883000,0 days 00:37:04.742000,271.0,187.0,,244.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:34:57.821000,2019-08-31 13:19:58.035,1,,False,,False,False
0 days 00:42:35.364000,GAS,10,,5.0,3.0,0 days 00:40:03.624000,0 days 00:42:35.364000,,0 days 00:01:03.299000,,,0 days 00:41:39.766000,,303.0,156.0,,223.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:37:04.742000,2019-08-31 13:22:04.956,125,,False,,False,False
0 days 00:30:13.872000,PER,11,,1.0,1.0,0 days 00:19:44.184000,0 days 00:22:26.298000,,,,,,,,,,,False,SOFT,1.0,True,Racing Point,0 days 00:19:44.184000,2019-08-31 13:04:44.398,15,,False,,False,False
0 days 00:32:38.173000,PER,11,,2.0,2.0,0 days 00:30:13.872000,,,0 days 00:01:01.632000,0 days 00:00:52.017000,,0 days 00:31:46.239000,0 days 00:32:38.420000,274.0,136.0,230.0,257.0,False,SOFT,2.0,False,Racing Point,0 days 00:30:13.872000,2019-08-31 13:15:14.086,1,,False,,False,False
0 days 00:34:23.905000,PER,11,0 days 00:01:45.732000,3.0,2.0,,,0 days 00:00:30.775000,0 days 00:00:46.266000,0 days 00:00:28.691000,0 days 00:33:08.948000,0 days 00:33:55.214000,0 days 00:34:23.905000,337.0,208.0,225.0,311.0,True,SOFT,3.0,False,Racing Point,0 days 00:32:38.173000,2019-08-31 13:17:38.387,1,,False,,False,True
0 days 00:36:32.134000,PER,11,0 days 00:02:08.229000,4.0,2.0,,0 days 00:36:28.393000,0 days 00:00:35.912000,0 days 00:00:52.401000,0 days 00:00:39.916000,0 days 00:34:59.817000,0 days 00:35:52.218000,0 days 00:36:32.134000,290.0,182.0,,258.0,False,SOFT,4.0,False,Racing Point,0 days 00:34:23.905000,2019-08-31 13:19:24.119,1,,False,,False,False
0 days 00:42:16.258000,PER,11,,5.0,3.0,0 days 00:39:49.288000,,,0 days 00:01:03.592000,0 days 00:00:50.298000,,0 days 00:41:25.960000,0 days 00:42:16.394000,285.0,138.0,229.0,207.0,False,SOFT,1.0,True,Racing Point,0 days 00:36:32.134000,2019-08-31 13:21:32.348,12,,False,,False,False
0 days 00:53:12.945000,PER,11,,6.0,3.0,,0 days 00:44:53.781000,,,,,,,,,,,False,SOFT,2.0,True,Racing Point,0 days 00:42:16.258000,2019-08-31 13:27:16.472,251,,False,,False,False
0 days 00:55:37.172000,PER,11,,7.0,4.0,0 days 00:53:12.945000,,,0 days 00:01:09.334000,0 days 00:00:40.239000,,0 days 00:54:56.933000,0 days 00:55:37.212000,244.0,134.0,231.0,197.0,False,SOFT,1.0,True,Racing Point,0 days 00:53:12.945000,2019-08-31 13:38:13.159,1,,False,,False,False
0 days 00:57:21.879000,PER,11,0 days 00:01:44.707000,8.0,4.0,,,0 days 00:00:30.480000,0 days 00:00:45.541000,0 days 00:00:28.686000,0 days 00:56:07.652000,0 days 00:56:53.193000,0 days 00:57:21.879000,334.0,204.0,226.0,313.0,True,SOFT,2.0,True,Racing Point,0 days 00:55:37.172000,2019-08-31 13:40:37.386,1,,False,,False,True
0 days 00:59:35.226000,PER,11,0 days 00:02:13.347000,9.0,4.0,,0 days 00:59:31.272000,0 days 00:00:35.994000,0 days 00:00:57.296000,0 days 00:00:40.057000,0 days 00:57:57.873000,0 days 00:58:55.169000,0 days 00:59:35.226000,273.0,178.0,,239.0,False,SOFT,3.0,True,Racing Point,0 days 00:57:21.879000,2019-08-31 13:42:22.093,1,,False,,False,False
0 days 01:06:03.544000,PER,11,,10.0,5.0,0 days 01:03:47.062000,,,0 days 00:01:04.011000,0 days 00:00:38.929000,,0 days 01:05:24.639000,0 days 01:06:03.592000,270.0,148.0,230.0,194.0,False,SOFT,1.0,True,Racing Point,0 days 00:59:35.226000,2019-08-31 13:44:35.440,1,,False,,False,False
0 days 01:07:48.334000,PER,11,0 days 00:01:44.790000,11.0,5.0,,,0 days 00:00:30.521000,0 days 00:00:45.591000,0 days 00:00:28.678000,0 days 01:06:34.065000,0 days 01:07:19.656000,0 days 01:07:48.334000,337.0,202.0,225.0,314.0,False,SOFT,2.0,True,Racing Point,0 days 01:06:03.544000,2019-08-31 13:51:03.758,1,,False,,False,True
0 days 01:10:08.625000,PER,11,0 days 00:02:20.291000,12.0,5.0,,0 days 01:10:04.812000,0 days 00:00:37.435000,0 days 00:01:00.198000,0 days 00:00:42.658000,0 days 01:08:25.769000,0 days 01:09:25.967000,0 days 01:10:08.625000,250.0,168.0,,218.0,False,SOFT,3.0,True,Racing Point,0 days 01:07:48.334000,2019-08-31 13:52:48.548,1,,False,,False,False
0 days 01:17:55.378000,PER,11,,13.0,6.0,0 days 01:15:32.861000,,,0 days 00:01:06.326000,0 days 00:00:37.023000,,0 days 01:17:18.394000,0 days 01:17:55.428000,216.0,146.0,231.0,177.0,False,SOFT,3.0,False,Racing Point,0 days 01:10:08.625000,2019-08-31 13:55:08.839,1,,False,,False,False
0 days 01:19:40.280000,PER,11,0 days 00:01:44.902000,14.0,6.0,,,0 days 00:00:30.680000,0 days 00:00:45.514000,0 days 00:00:28.708000,0 days 01:18:26.058000,0 days 01:19:11.572000,0 days 01:19:40.280000,335.0,201.0,227.0,313.0,True,SOFT,4.0,False,Racing Point,0 days 01:17:55.378000,2019-08-31 14:02:55.592,1,,False,,False,True
