Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:26.721000,HAM,44,,1.0,1.0,0 days 00:17:06.733000,,,0 days 00:00:47.002000,0 days 00:00:40.109000,,0 days 00:18:46.674000,0 days 00:19:26.937000,161.0,265.0,164.0,213.0,False,SOFT,1.0,True,Mercedes,0 days 00:17:06.733000,2020-09-26 12:02:06.782,1,,False,,False,False
0 days 00:21:00.986000,HAM,44,0 days 00:01:34.265000,2.0,1.0,,,0 days 00:00:34.713000,0 days 00:00:32.369000,0 days 00:00:27.183000,0 days 00:20:01.434000,0 days 00:20:33.803000,0 days 00:21:00.986000,278.0,320.0,159.0,331.0,False,SOFT,2.0,True,Mercedes,0 days 00:19:26.721000,2020-09-26 12:04:26.770,1,,True,TRACK LIMITS AT TURN 2,False,True
0 days 00:23:30.976000,HAM,44,,3.0,1.0,,,0 days 00:01:00.812000,0 days 00:00:48.253000,0 days 00:00:40.953000,0 days 00:22:01.775000,0 days 00:22:50.154000,0 days 00:23:31.212000,174.0,203.0,171.0,206.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:00.986000,2020-09-26 12:06:01.035,1,,False,,False,False
0 days 00:25:03.959000,HAM,44,0 days 00:01:32.983000,4.0,1.0,,,0 days 00:00:33.747000,0 days 00:00:32.019000,0 days 00:00:27.217000,0 days 00:24:04.723000,0 days 00:24:36.742000,0 days 00:25:03.959000,280.0,319.0,164.0,331.0,True,SOFT,4.0,True,Mercedes,0 days 00:23:30.976000,2020-09-26 12:08:31.025,1,,False,,False,True
0 days 00:26:56.781000,HAM,44,0 days 00:01:52.822000,5.0,1.0,,0 days 00:26:48.602000,0 days 00:00:38.402000,0 days 00:00:37.825000,0 days 00:00:36.595000,0 days 00:25:42.361000,0 days 00:26:20.186000,0 days 00:26:56.781000,221.0,267.0,,255.0,False,SOFT,5.0,True,Mercedes,0 days 00:25:03.959000,2020-09-26 12:10:04.008,1,,False,,False,False
0 days 00:42:22.911000,HAM,44,,6.0,2.0,0 days 00:40:11.892000,,,0 days 00:00:40.799000,0 days 00:00:39.677000,,0 days 00:41:43.251000,0 days 00:42:22.929000,178.0,274.0,174.0,207.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:26:56.781000,2020-09-26 12:11:56.830,1,,False,,False,False
0 days 00:43:54.996000,HAM,44,0 days 00:01:32.085000,7.0,2.0,,,0 days 00:00:33.484000,0 days 00:00:31.704000,0 days 00:00:26.897000,0 days 00:42:56.395000,0 days 00:43:28.099000,0 days 00:43:54.996000,281.0,322.0,143.0,333.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:42:22.911000,2020-09-26 12:27:22.960,1,,True,TRACK LIMITS AT TURN 18,False,True
0 days 00:45:58.222000,HAM,44,0 days 00:02:03.226000,8.0,2.0,,0 days 00:45:50.011000,0 days 00:00:41.072000,0 days 00:00:44.653000,0 days 00:00:37.501000,0 days 00:44:36.068000,0 days 00:45:20.721000,0 days 00:45:58.222000,141.0,268.0,,271.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:43:54.996000,2020-09-26 12:28:55.045,1,,False,,False,False
0 days 00:51:21.364000,HAM,44,,9.0,3.0,0 days 00:49:06.787000,,,0 days 00:00:48.631000,0 days 00:00:36.894000,,0 days 00:50:44.483000,0 days 00:51:21.364000,188.0,290.0,173.0,234.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:45:58.222000,2020-09-26 12:30:58.271,1,,False,,False,False
0 days 01:03:15.313000,HAM,44,,10.0,3.0,,0 days 00:55:32.753000,0 days 00:00:33.498000,0 days 00:00:31.599000,,0 days 00:51:54.881000,0 days 00:52:26.554000,,280.0,324.0,,333.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:51:21.364000,2020-09-26 12:36:21.413,125,,False,,False,False
0 days 01:05:14.063000,HAM,44,,11.0,4.0,0 days 01:03:15.191000,,,0 days 00:00:36.261000,0 days 00:00:34.421000,,0 days 01:04:39.701000,0 days 01:05:14.166000,201.0,301.0,152.0,217.0,False,SOFT,1.0,True,Mercedes,0 days 01:03:15.191000,2020-09-26 12:48:15.240,1,,False,,False,False
0 days 01:06:46.898000,HAM,44,0 days 00:01:32.835000,12.0,4.0,,,0 days 00:00:33.818000,0 days 00:00:31.866000,0 days 00:00:27.151000,0 days 01:05:47.881000,0 days 01:06:19.747000,0 days 01:06:46.898000,280.0,330.0,164.0,338.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:14.063000,2020-09-26 12:50:14.112,1,,False,,False,True
0 days 01:08:52.780000,HAM,44,0 days 00:02:05.882000,13.0,4.0,,0 days 01:08:44.232000,0 days 00:00:43.353000,0 days 00:00:41.458000,0 days 00:00:41.071000,0 days 01:07:30.251000,0 days 01:08:11.709000,0 days 01:08:52.780000,208.0,203.0,,200.0,False,SOFT,3.0,True,Mercedes,0 days 01:06:46.898000,2020-09-26 12:51:46.947,1,,False,,False,False
0 days 01:16:51.970000,HAM,44,,14.0,5.0,0 days 01:14:24.797000,,,0 days 00:00:46.745000,0 days 00:00:51.688000,,0 days 01:16:00.307000,0 days 01:16:51.986000,172.0,292.0,173.0,200.0,False,SOFT,1.0,True,Mercedes,0 days 01:08:52.780000,2020-09-26 12:53:52.829,1,,False,,False,False
0 days 01:18:23.361000,HAM,44,0 days 00:01:31.391000,15.0,5.0,,,0 days 00:00:33.432000,0 days 00:00:31.330000,0 days 00:00:26.629000,0 days 01:17:25.402000,0 days 01:17:56.732000,0 days 01:18:23.361000,280.0,324.0,162.0,330.0,True,SOFT,2.0,True,Mercedes,0 days 01:16:51.970000,2020-09-26 13:01:52.019,1,,False,,False,True
