Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:10:46.399000,VET,5,,1.0,1.0,0 days 00:09:17.581000,,,0 days 00:00:44.660000,0 days 00:00:25.574000,,0 days 00:10:20.844000,0 days 00:10:46.520000,172.0,227.0,278.0,282.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:09:17.581000,2018-07-21 13:05:22.609,,,False,,False,False
0 days 00:11:59.164000,VET,5,0 days 00:01:12.765000,2.0,1.0,,,0 days 00:00:15.994000,0 days 00:00:34.705000,0 days 00:00:22.066000,0 days 00:11:02.393000,0 days 00:11:37.098000,0 days 00:11:59.164000,217.0,273.0,282.0,320.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:10:46.399000,2018-07-21 13:06:51.427,,,False,,False,False
0 days 00:13:42.081000,VET,5,0 days 00:01:42.917000,3.0,1.0,,,0 days 00:00:23.411000,0 days 00:00:46.292000,0 days 00:00:33.214000,0 days 00:12:22.575000,0 days 00:13:08.867000,0 days 00:13:42.081000,151.0,218.0,278.0,223.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:11:59.164000,2018-07-21 13:08:04.192,,,False,,False,False
0 days 00:14:54.619000,VET,5,0 days 00:01:12.538000,4.0,1.0,,,0 days 00:00:15.643000,0 days 00:00:34.821000,0 days 00:00:22.074000,0 days 00:13:57.724000,0 days 00:14:32.545000,0 days 00:14:54.619000,219.0,271.0,278.0,314.0,True,ULTRASOFT,4.0,True,Ferrari,0 days 00:13:42.081000,2018-07-21 13:09:47.109,,,False,,False,False
0 days 00:16:46.238000,VET,5,0 days 00:01:51.619000,5.0,1.0,,,0 days 00:00:21.960000,0 days 00:00:54.686000,0 days 00:00:34.973000,0 days 00:15:16.579000,0 days 00:16:11.265000,0 days 00:16:46.238000,127.0,192.0,276.0,169.0,False,ULTRASOFT,5.0,True,Ferrari,0 days 00:14:54.619000,2018-07-21 13:10:59.647,,,False,,False,False
0 days 00:18:07.601000,VET,5,0 days 00:01:21.363000,6.0,1.0,,0 days 00:18:05.168000,0 days 00:00:15.666000,0 days 00:00:34.726000,0 days 00:00:30.971000,0 days 00:17:01.904000,0 days 00:17:36.630000,0 days 00:18:07.601000,220.0,271.0,,316.0,False,ULTRASOFT,6.0,True,Ferrari,0 days 00:16:46.238000,2018-07-21 13:12:51.266,,,False,,False,False
0 days 00:33:51.776000,VET,5,,7.0,2.0,0 days 00:32:14.327000,,,0 days 00:00:44.568000,0 days 00:00:33.569000,,0 days 00:33:18.225000,0 days 00:33:51.813000,152.0,217.0,280.0,245.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 00:18:07.601000,2018-07-21 13:14:12.629,21,,False,,False,False
0 days 00:35:04.281000,VET,5,0 days 00:01:12.505000,8.0,2.0,,,0 days 00:00:15.514000,0 days 00:00:34.412000,0 days 00:00:22.579000,0 days 00:34:07.290000,0 days 00:34:41.702000,0 days 00:35:04.281000,223.0,273.0,280.0,318.0,True,ULTRASOFT,2.0,True,Ferrari,0 days 00:33:51.776000,2018-07-21 13:29:56.804,1,,False,,False,True
0 days 00:36:45.963000,VET,5,0 days 00:01:41.682000,9.0,2.0,,0 days 00:36:43.382000,0 days 00:00:20.729000,0 days 00:00:46.715000,0 days 00:00:34.238000,0 days 00:35:25.010000,0 days 00:36:11.725000,0 days 00:36:45.963000,144.0,219.0,,266.0,False,ULTRASOFT,3.0,True,Ferrari,0 days 00:35:04.281000,2018-07-21 13:31:09.309,1,,False,,False,False
0 days 01:03:32.013000,VET,5,,10.0,3.0,0 days 01:01:56.280000,,,0 days 00:00:45.705000,0 days 00:00:30.667000,,0 days 01:03:01.346000,0 days 01:03:32.053000,153.0,208.0,282.0,260.0,False,ULTRASOFT,1.0,True,Ferrari,0 days 01:01:56.280000,2018-07-21 13:58:01.308,1,,False,,False,False
