Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-09-26 13:24:25,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:24:24,,BLUE,Driver,,22,48.0
2021-09-26 13:24:32,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,48.0
2021-09-26 13:24:38,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,48.0
2021-09-26 13:24:46,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,49.0
2021-09-26 13:24:47,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,49.0
2021-09-26 13:24:51,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,49.0
2021-09-26 13:24:58,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,49.0
2021-09-26 13:25:05,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,49.0
2021-09-26 13:25:09,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,49.0
2021-09-26 13:25:16,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:25:16,,BLUE,Driver,,9,49.0
2021-09-26 13:25:30,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,49.0
2021-09-26 13:25:35,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:25:35,,BLUE,Driver,,9,49.0
2021-09-26 13:25:44,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,49.0
2021-09-26 13:26:06,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:26:05,,BLUE,Driver,,99,49.0
2021-09-26 13:26:55,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:26:55,,BLUE,Driver,,9,50.0
2021-09-26 13:27:14,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:27:13,,BLUE,Driver,,9,50.0
2021-09-26 13:28:09,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:28:09,,BLUE,Driver,,9,50.0
2021-09-26 13:28:10,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,50.0
2021-09-26 13:28:12,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,50.0
2021-09-26 13:28:37,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:28:37,,BLUE,Driver,,99,51.0
2021-09-26 13:28:57,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:28:57,,BLUE,Driver,,9,51.0
2021-09-26 13:29:26,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 16:29:25,,BLUE,Driver,,99,51.0
2021-09-26 13:29:27,Other,TURN 9 INCIDENT INVOLVING CARS 18 (STR) AND 10 (GAS) NOTED,,,,,,51.0
2021-09-26 13:29:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,51.0
2021-09-26 13:29:41,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,51.0
2021-09-26 13:29:51,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 5,,,,,4,51.0
2021-09-26 13:29:55,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,51.0
2021-09-26 13:30:19,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,51.0
2021-09-26 13:30:31,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 13,,,,,10,51.0
2021-09-26 13:30:37,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 16:30:37,,BLUE,Driver,,9,51.0
2021-09-26 13:30:37,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:30:37,,BLUE,Driver,,22,51.0
2021-09-26 13:30:42,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,52.0
2021-09-26 13:31:03,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,52.0
2021-09-26 13:31:09,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 5,,,,,16,52.0
