Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-11-07 18:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-11-07 18:30:00,Other,PIT EXIT CLOSED,,,,,,1
2021-11-07 18:45:02,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
2021-11-07 18:57:16,Drs,DRS DISABLED,DISABLED,,,,,1
2021-11-07 19:03:05,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-11-07 19:03:26,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1
2021-11-07 19:03:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1
2021-11-07 19:04:03,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1
2021-11-07 19:04:13,CarEvent,CAR 22 (TSU) STOPPED AT TURN 2,,,,,22,1
2021-11-07 19:05:05,Other,CAR 47 (MSC) STOPPED AT TURN 3-4,,,,,,2
2021-11-07 19:06:55,Other,LAP 1 TURNS 1-2 INCIDENT NOTED,,,,,,2
2021-11-07 19:10:06,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4
2021-11-07 19:10:39,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,4
2021-11-07 19:11:09,Flag,TRACK CLEAR,,CLEAR,Track,,,4
2021-11-07 19:14:11,Other,TURN 7 INCIDENT INVOLVING CARS 3 (RIC) AND 18 (STR) NOTED,,,,,,7
2021-11-07 19:14:39,Drs,DRS ENABLED,ENABLED,,,,,7
2021-11-07 19:15:02,Other,LAP 1 TURNS 1-2 INCIDENT NO INVESTIGATION NECESSARY,,,,,,7
2021-11-07 19:17:11,Other,TURN 7 INCIDENT INVOLVING CARS 3 (RIC) AND 18 (STR) NO INVESTIGATION NECESSARY,,,,,,9
2021-11-07 19:29:48,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 13:29:47,,BLUE,Driver,,9,18
2021-11-07 19:31:26,Flag,WAVED BLUE FLAG FOR CAR 6 (LAT) TIMED AT 13:31:25,,BLUE,Driver,,6,19
2021-11-07 19:32:41,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 13:32:41,,BLUE,Driver,,9,20
2021-11-07 19:33:24,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 13:33:24,,BLUE,Driver,,9,21
