Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-11-29 13:40:25,Other,DRS ENABLED IN ZONE 3,,,,,,1
2020-11-29 13:40:25,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2020-11-29 13:55:02,Other,RISK OF RAIN FOR F1 RACE IS 20%,,,,,,1
2020-11-29 14:07:05,Drs,DRS DISABLED,DISABLED,,,,,1
2020-11-29 14:13:37,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2020-11-29 14:14:07,Flag,RED FLAG,,RED,Track,,,1
2020-11-29 14:15:01,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,1
2020-11-29 14:33:39,Other,DELAY OF A MINIMUM OF 45 MINUTES,,,,,,2
2020-11-29 14:34:21,Other,A 10 MINUTE WARNING WILL BE GIVEN PRIOR TO THE RACE RESUMPTION,,,,,,2
2020-11-29 15:22:06,Other,THE GRID FOR THE RESUMPTION WILL BE PUBLISHED ON THE DOCUMENT SYSTEM,,,,,,2
2020-11-29 15:22:58,Other,SESSION WILL RE-START AT 18:35,,,,,,2
2020-11-29 15:26:23,Other,CARS ARE TO GET IN THEIR CORRECT GRID POSITION ON THE LAP TO THE GRID,,,,,,2
2020-11-29 15:30:00,Flag,TRACK CLEAR,,CLEAR,Track,,,2
2020-11-29 15:36:05,Other,SAFETY CAR WILL ENTER PITS: STANDING START,,,,,,2
2020-11-29 15:40:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,3
2020-11-29 15:40:17,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,3
2020-11-29 15:40:18,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,3
2020-11-29 15:51:57,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,8
2020-11-29 15:52:11,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,8
2020-11-29 15:53:13,Flag,TRACK CLEAR,,CLEAR,Track,,,8
2020-11-29 15:53:13,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,8
2020-11-29 15:55:55,Other,TURN 8 INCIDENT INVOLVING CARS 26 (KVY) AND 16 (LEC) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,10
2020-11-29 15:56:25,Other,CORRECTION: TURN 8 INCIDENT INVOLVING CARS 26 (KVY) AND 18 (STR) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,10
2020-11-29 15:56:33,Drs,DRS ENABLED,ENABLED,,,,,10
2020-11-29 16:00:06,Other,10 SECOND TIME PENALTY FOR CAR 26 (KVY) - CAUSING A COLLISION,,,,,,13
2020-11-29 16:01:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,13
2020-11-29 16:01:16,Other,DRS DISABLED IN ZONE 2,,,,,,13
2020-11-29 16:01:24,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,14
2020-11-29 16:01:24,Other,DRS ENABLED IN ZONE 2,,,,,,14
2020-11-29 16:28:32,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 19:28:31,,BLUE,Driver,,20,31
2020-11-29 16:32:59,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 19:32:59,,BLUE,Driver,,20,33
2020-11-29 16:42:52,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 19:42:51,,BLUE,Driver,,20,39
2020-11-29 16:44:04,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 19:44:04,,BLUE,Driver,,20,40
