Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-08-04 12:55:02,Other,RISK OF RAIN FOR F1 RACE IS 20%,,,,,,1
2019-08-04 13:07:05,Drs,DRS DISABLED,DISABLED,,,,,1
2019-08-04 13:12:49,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2019-08-04 13:14:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,2
2019-08-04 13:14:45,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,2
2019-08-04 13:14:46,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,2
2019-08-04 13:16:09,Drs,DRS ENABLED,ENABLED,,,,,3
2019-08-04 13:16:48,Other,"LAP 1, TURN 3 INCIDENT INVOLVING CARS 44 (HAM) AND 77 (BOT) NOTED - NO INVESTIGATION NECESSARY",,,,,,3
2019-08-04 13:23:51,Other,"LAP 1, TURN 4 INCIDENT INVOLVING CARS 77 (BOT) AND 16 (LEC) NOTED - NO INVESTIGATION NECESSARY",,,,,,9
2019-08-04 13:39:19,Flag,WAVED BLUE FLAG FOR CAR 88 (KUB) TIMED AT 15:39:19,,BLUE,Driver,,88,20
2019-08-04 13:40:53,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:40:53,,BLUE,Driver,,8,21
2019-08-04 13:41:03,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:41:02,,BLUE,Driver,,8,21
2019-08-04 13:44:39,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:44:38,,BLUE,Driver,,11,24
2019-08-04 13:45:02,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:45:01,,BLUE,Driver,,11,24
2019-08-04 13:47:26,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:47:26,,BLUE,Driver,,99,26
2019-08-04 13:47:54,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:47:54,,BLUE,Driver,,99,26
2019-08-04 13:48:05,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:48:04,,BLUE,Driver,,18,26
2019-08-04 13:48:34,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:48:34,,BLUE,Driver,,63,27
2019-08-04 13:49:00,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:49:00,,BLUE,Driver,,99,27
2019-08-04 13:54:20,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:54:20,,BLUE,Driver,,18,31
2019-08-04 13:55:07,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:55:07,,BLUE,Driver,,8,31
