Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-25 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-05-25 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
2025-05-25 12:31:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,1
2025-05-25 12:31:36,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,1
2025-05-25 12:37:42,Other,INCIDENT INVOLVING CAR 87 (BEA) NOTED - UNSAFE CONDITION,,,,,,1
2025-05-25 12:39:28,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 87 (BEA) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE CONDITION,,,,,,1
2025-05-25 12:45:08,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1
2025-05-25 12:57:02,Drs,DRS DISABLED,DISABLED,,,,,1
2025-05-25 13:03:09,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-05-25 13:04:01,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1
2025-05-25 13:04:18,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2025-05-25 13:04:43,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,2
2025-05-25 13:04:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,2
2025-05-25 13:09:07,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,4
2025-05-25 13:09:15,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,4
2025-05-25 13:09:28,Flag,TRACK CLEAR,,CLEAR,Track,,,4
2025-05-25 13:09:31,Drs,DRS ENABLED,ENABLED,,,,,4
2025-05-25 13:10:35,Other,TURN 8 INCIDENT INVOLVING CARS 12 (ANT) AND 5 (BOR) NOTED,,,,,,5
2025-05-25 13:11:07,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 12 (ANT) AND 5 (BOR) REVIEWED NO FURTHER INVESTIGATION,,,,,,6
2025-05-25 13:14:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,8
2025-05-25 13:16:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,10
2025-05-25 13:16:52,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,10
2025-05-25 13:16:58,Other,PIT LANE ENTRY CLOSED,,,,,,10
2025-05-25 13:18:39,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,11
