Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2018-09-30 11:07:03,Drs,DRS DISABLED,DISABLED,,,,,1
2018-09-30 11:13:34,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2018-09-30 11:14:13,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1
2018-09-30 11:14:22,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,1
2018-09-30 11:14:29,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1
2018-09-30 11:14:30,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,1
2018-09-30 11:14:47,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1
2018-09-30 11:15:05,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1
2018-09-30 11:16:44,Drs,DRS ENABLED,ENABLED,,,,,2
2018-09-30 11:19:34,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,4
2018-09-30 11:19:44,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,4
2018-09-30 11:19:47,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,4
2018-09-30 11:19:48,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,4
2018-09-30 11:19:59,CarEvent,CAR 10 (GAS) SPUN AND CONTINUED AT TURN 4,,,,,10,4
2018-09-30 11:20:07,CarEvent,CAR 28 (HAR) SPUN AND CONTINUED AT TURN 2,,,,,28,4
2018-09-30 11:36:25,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:36:25,,BLUE,Driver,,35,14
2018-09-30 11:42:39,Other,TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) UNDER INVESTIGATION - MOVING MORE THAN ONCE TO DEFEND THE POSITION,,,,,,18
2018-09-30 11:49:29,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:49:28,,BLUE,Driver,,35,22
2018-09-30 11:50:02,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:50:02,,BLUE,Driver,,35,22
2018-09-30 11:50:11,Other,TURN 2 INCIDENT INVOLVING CARS 5 (VET) AND 44 (HAM) - NO FURTHER ACTION,,,,,,22
2018-09-30 11:50:26,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:50:25,,BLUE,Driver,,35,22
2018-09-30 11:50:47,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 14:50:47,,BLUE,Driver,,2,23
2018-09-30 11:51:05,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 14:51:04,,BLUE,Driver,,2,23
2018-09-30 11:51:26,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 14:51:25,,BLUE,Driver,,2,23
2018-09-30 11:54:32,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:54:31,,BLUE,Driver,,35,25
2018-09-30 11:55:58,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 14:55:58,,BLUE,Driver,,2,26
2018-09-30 11:59:46,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 14:59:46,,BLUE,Driver,,35,28
2018-09-30 12:01:36,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:01:35,,BLUE,Driver,,18,29
2018-09-30 12:01:55,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:01:54,,BLUE,Driver,,2,29
2018-09-30 12:02:45,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:02:45,,BLUE,Driver,,18,30
2018-09-30 12:03:08,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:03:08,,BLUE,Driver,,14,30
2018-09-30 12:03:19,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:03:18,,BLUE,Driver,,18,30
2018-09-30 12:04:13,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:04:13,,BLUE,Driver,,14,31
2018-09-30 12:04:43,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:04:43,,BLUE,Driver,,14,31
2018-09-30 12:05:05,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:05:04,,BLUE,Driver,,14,31
2018-09-30 12:07:48,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:07:48,,BLUE,Driver,,18,33
2018-09-30 12:08:15,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:08:15,,BLUE,Driver,,55,33
2018-09-30 12:08:40,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:08:39,,BLUE,Driver,,14,34
2018-09-30 12:10:22,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:10:21,,BLUE,Driver,,55,35
2018-09-30 12:17:47,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:17:46,,BLUE,Driver,,18,39
2018-09-30 12:19:49,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:19:48,,BLUE,Driver,,8,40
2018-09-30 12:20:13,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:20:12,,BLUE,Driver,,8,41
2018-09-30 12:20:49,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:20:49,,BLUE,Driver,,8,41
2018-09-30 12:21:12,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:21:11,,BLUE,Driver,,8,41
2018-09-30 12:21:35,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:21:35,,BLUE,Driver,,27,41
2018-09-30 12:22:19,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:22:19,,BLUE,Driver,,27,42
2018-09-30 12:24:15,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:24:14,,BLUE,Driver,,35,43
2018-09-30 12:24:33,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:24:32,,BLUE,Driver,,8,43
2018-09-30 12:25:34,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:25:34,,BLUE,Driver,,27,44
2018-09-30 12:25:46,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:25:46,,BLUE,Driver,,2,44
2018-09-30 12:26:28,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:26:27,,BLUE,Driver,,55,44
2018-09-30 12:29:15,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:29:14,,BLUE,Driver,,11,46
2018-09-30 12:29:45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:29:44,,BLUE,Driver,,11,46
2018-09-30 12:30:01,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:30:00,,BLUE,Driver,,11,47
2018-09-30 12:30:43,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:30:43,,BLUE,Driver,,31,47
2018-09-30 12:31:41,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:31:40,,BLUE,Driver,,31,48
2018-09-30 12:31:52,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:31:51,,BLUE,Driver,,20,48
2018-09-30 12:32:16,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:32:15,,BLUE,Driver,,31,48
2018-09-30 12:32:45,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:32:45,,BLUE,Driver,,20,48
2018-09-30 12:33:19,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:33:19,,BLUE,Driver,,20,49
2018-09-30 12:33:27,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:33:27,,BLUE,Driver,,27,49
2018-09-30 12:34:07,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:34:07,,BLUE,Driver,,35,49
2018-09-30 12:34:16,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:34:15,,BLUE,Driver,,11,49
2018-09-30 12:35:10,Flag,WAVED BLUE FLAG FOR CAR 8 (GRO) TIMED AT 15:35:10,,BLUE,Driver,,8,50
2018-09-30 12:35:34,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:35:33,,BLUE,Driver,,2,50
2018-09-30 12:36:14,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:36:14,,BLUE,Driver,,55,51
2018-09-30 12:37:44,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:37:44,,BLUE,Driver,,35,51
2018-09-30 12:37:56,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:37:56,,BLUE,Driver,,31,52
2018-09-30 12:38:24,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:38:24,,BLUE,Driver,,2,52
2018-09-30 12:38:29,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:38:29,,BLUE,Driver,,35,52
2018-09-30 12:38:53,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:38:53,,BLUE,Driver,,55,52
2018-09-30 12:38:58,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:38:57,,BLUE,Driver,,2,52
2018-09-30 12:39:38,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:39:37,,BLUE,Driver,,55,53
2018-09-30 12:39:55,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:39:55,,BLUE,Driver,,35,53
2018-09-30 12:40:16,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:40:16,,BLUE,Driver,,55,53
2018-09-30 12:40:58,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,53
2018-09-30 12:42:10,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:42:09,,BLUE,Driver,,18,53
2018-09-30 12:46:50,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,53
2018-09-30 12:47:04,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,53
