Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-03-29 04:18:28,Other,FORMATION LAP WILL START AT 14:10,,,,,,1
2026-03-29 04:24:02,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-03-29 04:24:04,Flag,CLEAR IN TRACK SECTOR 24,,CLEAR,Sector,24.0,,1
2026-03-29 04:24:06,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,1
2026-03-29 04:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-03-29 04:40:01,Other,PIT EXIT CLOSED,,,,,,1
2026-03-29 04:51:40,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,,,1
2026-03-29 05:07:05,Other,OVERTAKE DISABLED,,,,,,1
2026-03-29 05:14:02,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-03-29 05:15:26,Other,OVERTAKE ENABLED,,,,,,1
2026-03-29 05:20:02,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 13 LAP 1 14:15:19,,,,,,4
2026-03-29 05:32:11,Other,CAR 87 (BEA) TIME 1:37.790 DELETED - TRACK LIMITS AT TURN 13 LAP 11 14:31:24,,,,,,12
2026-03-29 05:37:09,Flag,BLACK AND WHITE FLAG FOR CAR 41 (LIN) - MOVING UNDER BRAKING,,BLACK AND WHITE,Driver,,41,15
2026-03-29 05:47:01,Other,CAR 11 (PER) TIME 1:38.735 DELETED - TRACK LIMITS AT TURN 13 LAP 20 14:46:19,,,,,,21
2026-03-29 05:47:54,Flag,YELLOW IN TRACK SECTOR 21,,YELLOW,Sector,21.0,,22
2026-03-29 05:47:59,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,22
2026-03-29 05:48:11,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,22
2026-03-29 05:48:23,Other,MEDICAL CAR DEPLOYED,,,,,,22
2026-03-29 05:49:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,,DOUBLE YELLOW,Sector,21.0,,23
2026-03-29 05:49:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,23
2026-03-29 05:50:15,Other,RECOVERY VEHICLE ON TRACK AT TURN 13,,,,,,23
2026-03-29 05:57:32,Other,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 77,,,,,,26
2026-03-29 05:57:48,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,26
2026-03-29 05:57:50,Flag,CLEAR IN TRACK SECTOR 21,,CLEAR,Sector,21.0,,26
2026-03-29 06:00:06,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,27
2026-03-29 06:01:24,Flag,TRACK CLEAR,,CLEAR,Track,,,27
