Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2018-07-22 13:07:05,Drs,DRS DISABLED,DISABLED,,,,,1
2018-07-22 13:13:04,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2018-07-22 13:15:30,Drs,DRS ENABLED,ENABLED,,,,,2
2018-07-22 13:50:10,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,29
2018-07-22 13:50:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,29
2018-07-22 13:50:50,CarEvent,CAR 3 (RIC) STOPPED AT TURN 11,,,,,3,29
2018-07-22 13:51:33,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:51:32,,BLUE,Driver,,35,30
2018-07-22 13:51:34,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,30
2018-07-22 13:53:01,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:53:01,,BLUE,Driver,,18,31
2018-07-22 13:54:00,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 15:53:59,,BLUE,Driver,,28,32
2018-07-22 13:55:15,Flag,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 15:55:15,,BLUE,Driver,,2,33
2018-07-22 13:55:27,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:55:27,,BLUE,Driver,,14,33
2018-07-22 13:55:43,Flag,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 15:55:43,,BLUE,Driver,,35,33
2018-07-22 13:56:23,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:56:22,,BLUE,Driver,,14,33
2018-07-22 13:56:44,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:56:43,,BLUE,Driver,,18,34
2018-07-22 13:56:56,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:56:55,,BLUE,Driver,,31,34
2018-07-22 13:57:59,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 15:57:59,,BLUE,Driver,,28,35
2018-07-22 13:58:36,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:58:35,,BLUE,Driver,,14,35
2018-07-22 13:59:24,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:59:23,,BLUE,Driver,,10,36
2018-07-22 14:00:25,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:00:24,,BLUE,Driver,,31,37
2018-07-22 14:00:47,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:00:46,,BLUE,Driver,,14,37
2018-07-22 14:01:24,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:01:23,,BLUE,Driver,,10,37
2018-07-22 14:02:05,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:02:05,,BLUE,Driver,,31,38
2018-07-22 14:03:09,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:03:09,,BLUE,Driver,,10,39
2018-07-22 14:04:23,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:04:22,,BLUE,Driver,,14,40
