Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:06.103000,16.9,38.0,942.1,False,18.0,126,0.7
0 days 00:01:06.100000,16.9,38.0,942.1,False,17.6,133,0.7
0 days 00:02:06.103000,16.9,38.0,942.2,False,17.6,80,0.6
0 days 00:03:06.103000,16.9,38.0,942.1,False,17.7,62,0.0
0 days 00:04:06.105000,16.9,38.0,942.1,False,17.7,269,1.1
0 days 00:05:06.106000,16.9,38.0,942.1,False,17.9,66,0.7
0 days 00:06:06.105000,17.0,37.0,942.0,False,17.8,0,0.6
0 days 00:07:06.105000,17.0,37.0,942.1,False,17.9,179,0.3
0 days 00:08:06.099000,17.1,37.0,942.0,False,18.0,93,0.5
0 days 00:09:06.107000,17.1,37.0,942.0,False,18.1,101,0.4
0 days 00:10:06.115000,17.1,37.0,942.1,False,18.1,207,0.6
0 days 00:11:06.109000,17.1,37.0,942.0,False,18.0,0,0.5
0 days 00:12:06.124000,17.1,37.0,942.1,False,17.7,184,0.0
0 days 00:13:06.112000,17.1,37.0,942.0,False,17.7,124,0.7
0 days 00:14:06.116000,17.1,37.0,942.1,False,17.6,159,0.8
0 days 00:15:06.125000,17.1,37.0,942.0,False,17.7,0,0.0
0 days 00:16:06.117000,17.1,37.0,942.0,False,17.7,143,0.6
0 days 00:17:06.111000,17.1,37.0,942.0,False,17.7,147,0.5
0 days 00:18:06.115000,17.1,37.0,942.0,False,17.7,82,0.5
0 days 00:19:06.118000,17.1,37.0,942.0,False,17.7,107,0.6
0 days 00:20:06.121000,17.1,37.0,942.0,False,17.8,123,0.6
0 days 00:21:06.118000,17.1,37.0,942.1,False,17.7,94,1.0
0 days 00:22:06.112000,17.1,37.0,942.0,False,17.7,200,1.0
0 days 00:23:06.122000,17.1,37.0,942.0,False,17.7,189,0.4
0 days 00:24:06.113000,17.1,37.0,942.1,False,17.9,187,0.8
0 days 00:25:06.115000,17.1,36.0,942.1,False,18.5,14,0.5
0 days 00:26:06.116000,17.2,36.0,942.0,False,18.0,125,0.3
0 days 00:27:06.117000,17.2,36.0,942.0,False,23.9,181,0.7
0 days 00:28:06.129000,17.2,35.0,941.9,False,24.6,0,0.6
0 days 00:29:06.123000,17.1,36.0,941.9,False,28.2,136,0.0
0 days 00:30:06.116000,17.1,36.0,942.0,False,29.0,142,0.3
0 days 00:31:06.128000,17.1,36.0,941.9,False,29.5,110,1.1
0 days 00:32:06.127000,17.0,36.0,942.0,False,29.3,110,0.9
0 days 00:33:06.142000,17.0,37.0,941.9,False,28.7,165,0.8
0 days 00:34:06.169000,17.0,37.0,942.0,False,28.7,126,0.7
0 days 00:35:06.176000,17.0,36.0,942.0,False,29.2,224,0.7
0 days 00:36:06.182000,17.0,36.0,942.0,False,29.2,126,0.7
0 days 00:37:06.175000,17.0,37.0,942.1,False,28.2,148,0.4
0 days 00:38:06.184000,16.9,36.0,942.0,False,27.7,187,0.8
0 days 00:39:06.207000,17.0,36.0,941.9,False,27.2,130,0.7
0 days 00:40:06.204000,16.9,37.0,941.9,False,27.2,211,1.2
0 days 00:41:06.221000,16.9,36.0,942.0,False,27.2,212,1.8
0 days 00:42:06.208000,16.9,37.0,941.9,False,27.7,0,0.8
0 days 00:43:06.208000,16.9,37.0,941.9,False,28.9,250,1.2
0 days 00:44:06.226000,16.8,37.0,941.9,False,28.7,188,1.0
0 days 00:45:06.296000,16.9,36.0,941.9,False,28.3,163,1.7
0 days 00:46:06.271000,16.8,37.0,941.9,False,28.3,197,1.2
0 days 00:47:06.263000,16.8,37.0,942.0,False,28.5,153,1.2
0 days 00:48:06.260000,16.8,38.0,941.9,False,27.2,190,0.5
0 days 00:49:06.276000,16.8,37.0,941.9,False,25.3,166,0.8
0 days 00:50:06.272000,16.8,37.0,941.9,False,24.2,179,1.2
0 days 00:51:06.274000,16.8,38.0,942.0,False,24.2,163,1.1
0 days 00:52:06.272000,16.7,38.0,942.0,False,24.4,240,0.9
0 days 00:53:06.280000,16.8,37.0,942.0,False,24.7,126,1.0
0 days 00:54:06.276000,16.7,37.0,941.9,False,24.2,192,1.1
0 days 00:55:06.277000,16.7,37.0,942.0,False,25.1,166,1.6
0 days 00:56:06.298000,16.7,38.0,942.0,False,23.8,162,0.9
0 days 00:57:06.296000,16.7,37.0,942.0,False,18.5,197,1.8
0 days 00:58:06.290000,16.7,38.0,941.9,False,18.2,183,1.3
0 days 00:59:06.293000,16.8,38.0,942.0,False,18.2,208,1.9
0 days 01:00:06.319000,16.8,38.0,942.0,False,18.7,182,1.2
0 days 01:01:06.304000,16.8,37.0,941.9,False,18.7,178,1.5
0 days 01:02:06.329000,16.9,38.0,942.0,False,18.2,175,2.1
0 days 01:03:06.348000,16.9,38.0,942.0,False,18.2,189,1.6
0 days 01:04:06.381000,16.9,38.0,941.9,False,18.1,186,1.5
0 days 01:05:06.381000,16.9,38.0,941.9,False,18.0,197,2.1
