Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:16.313000,33.0,37.4,1012.6,False,35.7,271,0.7
0 days 00:01:16.331000,33.0,37.4,1012.6,False,35.7,271,0.7
0 days 00:02:16.341000,32.9,37.6,1012.6,False,35.6,290,0.5
0 days 00:03:16.356000,32.9,37.5,1012.5,False,35.6,117,1.2
0 days 00:04:16.407000,32.9,37.6,1012.5,False,35.5,283,0.9
0 days 00:05:16.384000,32.9,37.8,1012.5,False,35.5,273,0.5
0 days 00:06:16.397000,32.9,37.8,1012.5,False,35.4,226,0.7
0 days 00:07:16.411000,32.8,38.1,1012.6,False,35.5,269,0.5
0 days 00:08:16.436000,32.8,38.1,1012.6,False,35.5,269,0.5
0 days 00:09:16.440000,32.7,38.5,1012.5,False,35.4,307,1.6
0 days 00:10:16.454000,32.7,38.2,1012.5,False,35.3,296,1.4
0 days 00:11:16.468000,32.6,38.7,1012.6,False,35.3,289,0.8
0 days 00:12:16.489000,32.5,38.6,1012.5,False,35.2,281,0.7
0 days 00:13:16.535000,32.6,38.3,1012.5,False,35.2,273,0.9
0 days 00:14:16.543000,32.6,38.2,1012.5,False,35.0,251,1.1
0 days 00:15:16.526000,32.6,38.2,1012.5,False,35.0,251,1.1
0 days 00:16:16.539000,32.3,39.1,1012.6,False,35.1,312,0.8
0 days 00:17:16.582000,32.4,38.8,1012.7,False,35.1,254,0.8
0 days 00:18:16.567000,32.4,38.8,1012.7,False,35.1,254,0.8
0 days 00:19:16.688000,32.6,38.6,1012.5,False,35.0,0,0.5
0 days 00:20:16.593000,32.6,38.6,1012.5,False,35.0,0,0.5
0 days 00:21:16.616000,32.6,38.3,1012.6,False,35.0,48,0.6
0 days 00:22:16.627000,32.6,38.3,1012.6,False,35.0,303,0.0
0 days 00:23:16.638000,32.6,38.7,1012.7,False,34.9,191,0.6
0 days 00:24:16.650000,32.6,38.5,1012.7,False,34.9,339,0.5
0 days 00:25:16.667000,32.6,38.5,1012.6,False,34.8,249,0.6
0 days 00:26:16.703000,32.6,38.7,1012.7,False,34.7,303,0.9
0 days 00:27:16.694000,32.7,38.4,1012.8,False,34.7,311,1.1
0 days 00:28:16.708000,32.7,38.2,1012.7,False,34.7,312,0.6
0 days 00:29:16.722000,32.6,38.7,1012.8,False,34.7,0,0.8
0 days 00:30:16.735000,32.6,39.2,1012.7,False,34.7,296,0.0
0 days 00:31:16.752000,32.6,38.6,1012.7,False,34.7,259,0.9
0 days 00:32:16.763000,32.6,38.6,1012.7,False,34.7,259,0.9
0 days 00:33:16.777000,32.3,39.2,1012.7,False,34.7,192,0.5
0 days 00:34:16.801000,32.1,39.6,1012.7,False,34.3,302,0.9
0 days 00:35:16.813000,32.3,38.5,1012.8,False,34.1,260,1.3
0 days 00:36:16.824000,32.3,38.7,1012.8,False,34.1,272,0.7
0 days 00:37:16.837000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:38:16.849000,32.3,38.4,1012.8,False,34.6,309,2.6
0 days 00:39:16.862000,32.5,38.2,1012.7,False,34.7,225,1.5
0 days 00:40:16.878000,32.5,38.6,1012.7,False,34.6,302,1.2
0 days 00:41:16.894000,32.5,37.5,1012.7,False,34.6,268,1.1
0 days 00:42:16.956000,32.6,38.0,1012.8,False,34.8,280,1.0
0 days 00:43:16.922000,32.6,37.6,1012.8,False,34.7,240,0.8
0 days 00:44:16.933000,32.6,37.7,1012.8,False,34.6,267,0.8
0 days 00:45:16.948000,32.6,37.7,1012.8,False,34.6,267,0.8
0 days 00:46:16.964000,32.7,37.5,1012.8,False,34.6,0,1.3
0 days 00:47:17.149000,32.6,37.9,1012.8,False,34.4,239,1.9
0 days 00:48:16.994000,32.7,37.2,1012.8,False,34.3,272,1.5
0 days 00:49:17.004000,32.9,36.8,1012.9,False,34.7,291,2.8
0 days 00:50:17.026000,33.0,36.5,1013.0,False,34.4,274,1.6
0 days 00:51:17.036000,33.0,36.5,1012.9,False,34.4,256,2.1
0 days 00:52:17.047000,33.1,36.6,1013.0,False,34.4,265,0.9
0 days 00:53:17.061000,33.1,36.6,1013.0,False,34.4,265,0.9
0 days 00:54:17.074000,33.1,36.7,1012.9,False,34.1,0,1.0
