Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:23.081000,17.9,67.6,1006.5,False,27.8,49,1.3
0 days 00:01:23.095000,17.8,68.3,1006.6,False,27.8,17,1.0
0 days 00:02:23.107000,18.0,67.6,1006.6,False,28.0,46,1.3
0 days 00:03:23.121000,18.0,67.0,1006.6,False,28.0,22,2.1
0 days 00:04:23.133000,17.8,67.9,1006.6,False,27.7,12,2.0
0 days 00:05:23.147000,17.9,67.6,1006.6,False,27.6,17,1.7
0 days 00:06:23.159000,18.0,67.7,1006.5,False,27.6,19,1.7
0 days 00:07:23.172000,18.0,67.3,1006.6,False,28.1,42,2.9
0 days 00:08:23.201000,17.8,67.8,1006.5,False,28.2,13,1.9
0 days 00:09:23.198000,17.8,68.1,1006.6,False,28.1,15,2.3
0 days 00:10:23.227000,17.8,68.3,1006.7,False,27.7,28,1.8
0 days 00:11:23.224000,17.8,68.0,1006.7,False,27.7,350,1.6
0 days 00:12:23.253000,17.9,68.4,1006.6,False,27.8,11,1.6
0 days 00:13:23.282000,17.7,68.2,1006.6,False,27.6,351,1.9
0 days 00:14:23.279000,17.6,68.8,1006.6,False,27.7,15,2.3
0 days 00:15:23.292000,17.9,69.1,1006.6,False,27.7,32,1.5
0 days 00:16:23.305000,18.1,67.9,1006.7,False,28.3,41,0.6
0 days 00:17:23.318000,18.3,66.9,1006.5,False,28.3,351,1.4
0 days 00:18:23.331000,18.2,67.2,1006.5,False,28.4,18,2.2
0 days 00:19:23.344000,18.1,67.5,1006.5,False,28.4,12,2.3
0 days 00:20:23.357000,18.2,67.7,1006.5,False,28.5,54,2.2
0 days 00:21:23.370000,18.1,66.6,1006.5,False,28.6,63,1.8
0 days 00:22:23.383000,17.9,67.4,1006.5,False,28.6,34,1.4
0 days 00:23:23.396000,18.2,67.5,1006.5,False,29.0,13,1.0
0 days 00:24:23.409000,18.2,67.1,1006.4,False,29.2,40,1.7
0 days 00:25:23.422000,18.3,66.8,1006.5,False,29.2,17,2.2
0 days 00:26:23.451000,18.3,66.1,1006.4,False,29.6,355,2.8
0 days 00:27:23.448000,18.4,66.2,1006.5,False,29.7,11,1.6
0 days 00:28:23.461000,18.4,65.6,1006.5,False,30.3,342,2.4
0 days 00:29:23.474000,18.3,65.9,1006.4,False,30.5,32,2.2
0 days 00:30:23.503000,18.6,65.9,1006.5,False,31.4,57,1.6
