Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:18.766000,17.5,60.4,962.5,False,27.4,0,1.0
0 days 00:01:18.781000,17.5,60.4,962.6,False,27.1,339,0.7
0 days 00:02:18.765000,17.4,60.0,962.5,False,26.9,298,0.7
0 days 00:03:18.791000,17.4,60.5,962.5,False,26.9,297,1.5
0 days 00:04:18.798000,17.5,59.2,962.5,False,28.0,304,2.3
0 days 00:05:18.779000,17.6,59.0,962.6,False,28.4,332,1.9
0 days 00:06:18.791000,17.7,57.9,962.5,False,28.6,337,1.3
0 days 00:07:18.802000,17.9,57.6,962.6,False,28.9,321,1.6
0 days 00:08:18.818000,18.0,57.2,962.6,False,29.1,352,1.5
0 days 00:09:18.816000,18.0,57.4,962.5,False,29.3,334,1.8
0 days 00:10:18.826000,18.0,56.6,962.6,False,29.7,353,2.1
0 days 00:11:18.846000,17.7,56.6,962.5,False,29.7,341,1.7
0 days 00:12:18.834000,17.8,57.6,962.6,False,29.7,247,1.3
0 days 00:13:18.848000,17.9,57.1,962.5,False,29.9,298,1.1
0 days 00:14:18.860000,18.0,57.3,962.5,False,30.0,358,0.8
0 days 00:15:18.854000,18.1,56.7,962.5,False,30.1,301,1.0
0 days 00:16:18.872000,18.3,56.6,962.6,False,30.3,303,0.8
0 days 00:17:18.887000,18.4,56.3,962.6,False,30.3,343,1.9
0 days 00:18:18.904000,18.2,56.7,962.5,False,30.3,251,1.2
0 days 00:19:18.906000,18.2,56.9,962.5,False,30.3,219,1.1
0 days 00:20:18.913000,18.0,57.9,962.4,False,30.3,188,1.2
0 days 00:21:18.901000,18.0,58.3,962.4,False,30.4,281,1.6
0 days 00:22:18.921000,18.2,58.0,962.4,False,30.9,312,1.6
0 days 00:23:18.915000,18.1,57.9,962.4,False,30.9,333,2.9
0 days 00:24:18.937000,18.0,58.1,962.4,False,30.8,310,2.7
0 days 00:25:18.928000,18.0,57.8,962.4,False,30.8,342,2.7
0 days 00:26:18.955000,18.0,58.3,962.4,False,30.8,286,2.6
0 days 00:27:18.951000,18.0,58.3,962.4,False,30.8,352,1.9
0 days 00:28:18.970000,17.9,58.7,962.4,False,30.3,321,2.4
0 days 00:29:18.975000,17.9,59.1,962.4,False,30.3,305,2.1
0 days 00:30:18.963000,17.8,59.4,962.4,False,30.3,318,0.7
0 days 00:31:18.951000,18.0,58.5,962.5,False,30.7,333,1.8
0 days 00:32:18.965000,18.1,58.7,962.5,False,30.9,263,1.1
0 days 00:33:18.997000,18.4,56.1,962.5,False,31.2,0,1.4
0 days 00:34:18.965000,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:35:18.966000,18.4,55.8,962.5,False,31.2,343,2.1
0 days 00:36:18.998000,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:37:18.976000,18.2,54.5,962.4,False,31.5,343,3.0
0 days 00:38:18.977000,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:39:18.999000,18.2,54.8,962.4,False,31.4,336,1.8
0 days 00:40:18.996000,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:41:18.989000,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:42:19.688000,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:43:18.997000,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:44:18.987000,18.4,54.6,962.4,False,30.6,5,1.2
0 days 00:45:19.017000,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:46:19.015000,18.3,54.5,962.4,False,29.8,0,0.8
0 days 00:47:18.998000,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:48:18.997000,18.3,54.4,962.5,False,29.2,355,0.5
0 days 00:49:19.026000,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:50:19.038000,19.1,52.2,962.3,False,30.5,10,0.8
0 days 00:51:19.020000,19.0,53.2,962.4,False,30.8,86,1.3
0 days 00:52:19.022000,19.0,52.8,962.4,False,30.9,169,1.2
0 days 00:53:19.022000,19.1,53.0,962.3,False,31.0,45,0.9
0 days 00:54:19.012000,18.9,53.2,962.2,False,31.0,20,1.4
0 days 00:55:19.012000,18.9,54.6,962.3,False,31.3,161,0.8
0 days 00:56:19.003000,19.4,53.7,962.3,False,31.6,180,0.5
0 days 00:57:19.010000,19.1,52.8,962.4,False,31.8,161,0.8
0 days 00:58:19.013000,19.0,54.0,962.3,False,31.4,148,1.4
0 days 00:59:19.017000,19.0,54.1,962.4,False,31.4,342,1.3
0 days 01:00:19.027000,18.9,54.5,962.2,False,31.9,204,1.3
0 days 01:01:19.031000,19.3,53.7,962.4,False,31.9,307,1.8
0 days 01:02:19.037000,19.3,53.4,962.3,False,32.1,330,1.2
0 days 01:03:19.025000,19.6,52.8,962.4,False,32.2,301,1.6
0 days 01:04:19.003000,19.5,52.7,962.4,False,32.1,300,2.3
0 days 01:05:19.023000,19.3,51.9,962.3,False,31.9,283,1.8
0 days 01:06:19.030000,19.3,52.0,962.3,False,31.9,349,2.0
0 days 01:07:19.034000,19.3,51.3,962.4,False,32.0,358,2.0
0 days 01:08:19.042000,19.1,51.5,962.4,False,32.0,194,1.7
0 days 01:09:19.025000,19.1,52.7,962.3,False,31.9,210,0.5
0 days 01:10:19.030000,19.3,52.2,962.3,False,32.1,339,1.2
0 days 01:11:19.015000,19.3,51.7,962.3,False,32.0,176,1.2
0 days 01:12:19.037000,19.6,50.5,962.3,False,31.8,308,0.9
0 days 01:13:19.030000,19.3,51.5,962.3,False,31.8,346,1.4
0 days 01:14:19.041000,19.1,52.9,962.4,False,31.3,298,2.2
0 days 01:15:19.026000,18.9,54.3,962.4,False,30.3,281,1.8
0 days 01:16:19.046000,18.8,54.9,962.4,False,30.0,315,1.2
0 days 01:17:19.033000,18.8,54.6,962.5,False,29.8,320,1.7
0 days 01:18:19.057000,18.8,54.5,962.4,False,29.6,324,1.7
0 days 01:19:19.055000,18.7,54.6,962.4,False,29.5,331,1.8
0 days 01:20:19.026000,18.4,55.2,962.5,False,29.2,357,2.8
0 days 01:21:19.058000,18.5,56.3,962.4,False,28.7,320,1.7
