Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:28.548000,29.6,34.0,944.0,False,51.3,31,1.9
0 days 00:01:28.550000,29.5,34.0,944.0,False,51.9,25,1.5
0 days 00:02:28.545000,29.4,32.0,944.0,False,51.9,358,2.4
0 days 00:03:28.554000,29.4,34.0,944.0,False,50.4,141,1.2
0 days 00:04:28.566000,29.3,34.0,943.9,False,49.2,182,0.4
0 days 00:05:28.548000,29.3,34.0,944.0,False,48.7,0,0.7
0 days 00:06:28.547000,29.3,34.0,944.0,False,48.7,227,0.0
0 days 00:07:28.551000,29.5,34.0,944.1,False,49.9,271,0.4
0 days 00:08:28.546000,29.6,33.0,944.1,False,50.7,57,0.9
0 days 00:09:28.548000,29.7,33.0,944.1,False,50.4,174,0.7
0 days 00:10:28.555000,29.7,33.0,944.0,False,50.6,283,0.7
0 days 00:11:28.571000,29.9,33.0,944.1,False,51.2,326,0.7
0 days 00:12:28.549000,30.0,33.0,944.0,False,51.2,6,1.3
0 days 00:13:28.552000,30.0,33.0,944.0,False,50.6,278,0.9
0 days 00:14:28.555000,30.0,34.0,944.0,False,49.4,242,2.4
0 days 00:15:28.558000,29.9,34.0,944.0,False,49.4,192,2.2
0 days 00:16:28.554000,29.8,34.0,944.1,False,49.3,74,1.2
0 days 00:17:28.563000,29.6,34.0,944.0,False,48.3,63,2.5
0 days 00:18:28.560000,29.5,34.0,944.0,False,47.8,72,2.1
0 days 00:19:28.562000,29.3,34.0,944.2,False,47.4,74,1.9
0 days 00:20:28.554000,29.1,34.0,944.1,False,46.8,73,1.6
0 days 00:21:28.553000,29.1,35.0,944.0,False,46.1,40,1.1
0 days 00:22:28.562000,29.1,35.0,944.0,False,48.1,48,1.4
0 days 00:23:28.584000,29.2,34.0,944.0,False,49.1,63,1.0
0 days 00:24:28.562000,29.3,33.0,944.0,False,49.1,66,1.1
0 days 00:25:28.575000,29.5,32.0,943.9,False,48.6,88,1.9
0 days 00:26:28.576000,29.5,33.0,943.9,False,49.2,67,1.4
0 days 00:27:28.600000,29.3,34.0,944.0,False,48.5,97,1.2
0 days 00:28:28.617000,29.4,34.0,944.0,False,48.1,73,0.5
0 days 00:29:28.616000,29.4,34.0,944.0,False,48.2,208,1.8
0 days 00:30:28.624000,29.4,34.0,944.0,False,48.7,62,0.8
0 days 00:31:28.637000,29.4,33.0,944.0,False,49.4,172,0.5
0 days 00:32:28.638000,29.6,33.0,944.0,False,49.4,53,0.4
0 days 00:33:28.649000,29.9,34.0,943.9,False,49.5,123,0.9
0 days 00:34:28.665000,29.9,33.0,944.0,False,49.7,46,0.9
0 days 00:35:28.664000,29.9,33.0,943.8,False,50.0,21,1.0
0 days 00:36:28.673000,29.9,33.0,943.8,False,50.5,14,0.9
0 days 00:37:28.706000,30.0,32.0,943.8,False,51.0,64,0.9
0 days 00:38:28.700000,30.1,31.0,943.8,False,50.6,103,1.4
0 days 00:39:28.698000,30.1,32.0,943.8,False,49.9,257,0.7
0 days 00:40:28.696000,30.0,33.0,943.7,False,49.5,203,0.6
0 days 00:41:28.704000,30.0,33.0,943.8,False,50.5,56,0.4
0 days 00:42:28.695000,30.1,32.0,943.8,False,50.5,39,1.3
