Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:09:36.072000,GAS,10,,1.0,1.0,,,,,,,,,,,,,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:07:26.483000,2018-06-24 14:13:26.509,214,,False,,True,False
0 days 00:09:45.553000,PER,11,0 days 00:02:18.853000,1.0,,,,,0 days 00:00:48.892000,0 days 00:00:55.186000,,0 days 00:08:50.379000,0 days 00:09:45.594000,100.0,118.0,192.0,87.0,False,nan,,True,Force India,0 days 00:07:26.483000,2018-06-24 14:13:26.509,214,9.0,False,,False,False
0 days 00:12:26.364000,PER,11,,2.0,1.0,,,0 days 00:00:50.570000,0 days 00:00:42.611000,0 days 00:01:07.715000,0 days 00:10:36.088000,0 days 00:11:18.684000,0 days 00:12:26.495000,82.0,229.0,247.0,230.0,False,SOFT,1.0,True,Force India,0 days 00:09:45.553000,2018-06-24 14:15:45.579,4,9.0,False,,False,False
0 days 00:14:53.941000,PER,11,0 days 00:02:27.577000,3.0,1.0,,,0 days 00:00:41.122000,0 days 00:00:43.237000,0 days 00:01:03.218000,0 days 00:13:07.498000,0 days 00:13:50.735000,0 days 00:14:53.953000,98.0,254.0,251.0,215.0,True,SOFT,2.0,True,Force India,0 days 00:12:26.364000,2018-06-24 14:18:26.390,4,9.0,False,,False,False
0 days 00:17:23.361000,PER,11,0 days 00:02:29.420000,4.0,1.0,,,0 days 00:00:37.939000,0 days 00:00:41.167000,0 days 00:01:10.314000,0 days 00:15:31.892000,0 days 00:16:13.059000,0 days 00:17:23.373000,99.0,214.0,247.0,223.0,False,SOFT,3.0,True,Force India,0 days 00:14:53.941000,2018-06-24 14:20:53.967,4,9.0,False,,False,False
0 days 00:19:41.847000,PER,11,0 days 00:02:18.486000,5.0,1.0,,,0 days 00:00:32.836000,0 days 00:00:45.189000,0 days 00:01:00.461000,0 days 00:17:56.209000,0 days 00:18:41.398000,0 days 00:19:41.859000,94.0,124.0,297.0,198.0,True,SOFT,4.0,True,Force India,0 days 00:17:23.361000,2018-06-24 14:23:23.387,41,9.0,False,,False,False
0 days 00:21:22.689000,PER,11,0 days 00:01:40.842000,6.0,1.0,,,0 days 00:00:25.773000,0 days 00:00:30.367000,0 days 00:00:44.702000,0 days 00:20:07.632000,0 days 00:20:37.999000,0 days 00:21:22.701000,107.0,281.0,295.0,283.0,True,SOFT,5.0,True,Force India,0 days 00:19:41.847000,2018-06-24 14:25:41.873,12,9.0,False,,False,True
0 days 00:23:04.278000,PER,11,0 days 00:01:41.589000,7.0,1.0,,,0 days 00:00:26.155000,0 days 00:00:30.632000,0 days 00:00:44.802000,0 days 00:21:48.856000,0 days 00:22:19.488000,0 days 00:23:04.290000,108.0,282.0,293.0,303.0,False,SOFT,6.0,True,Force India,0 days 00:21:22.689000,2018-06-24 14:27:22.715,1,9.0,False,,False,True
0 days 00:24:43.772000,PER,11,0 days 00:01:39.494000,8.0,1.0,,,0 days 00:00:25.318000,0 days 00:00:29.951000,0 days 00:00:44.225000,0 days 00:23:29.608000,0 days 00:23:59.559000,0 days 00:24:43.784000,110.0,280.0,294.0,310.0,True,SOFT,7.0,True,Force India,0 days 00:23:04.278000,2018-06-24 14:29:04.304,1,9.0,False,,False,True
0 days 00:26:23.137000,PER,11,0 days 00:01:39.365000,9.0,1.0,,,0 days 00:00:25.067000,0 days 00:00:29.947000,0 days 00:00:44.351000,0 days 00:25:08.851000,0 days 00:25:38.798000,0 days 00:26:23.149000,108.0,279.0,293.0,306.0,True,SOFT,8.0,True,Force India,0 days 00:24:43.772000,2018-06-24 14:30:43.798,1,9.0,False,,False,True
0 days 00:28:03.060000,PER,11,0 days 00:01:39.923000,10.0,1.0,,,0 days 00:00:25.188000,0 days 00:00:30.373000,0 days 00:00:44.362000,0 days 00:26:48.337000,0 days 00:27:18.710000,0 days 00:28:03.072000,107.0,278.0,291.0,302.0,False,SOFT,9.0,True,Force India,0 days 00:26:23.137000,2018-06-24 14:32:23.163,1,9.0,False,,False,True
