Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:08.742000,NOR,1,0 days 00:01:24.177000,1.0,1.0,,,,0 days 00:00:27.056000,0 days 00:00:25.560000,,0 days 00:57:44.833000,0 days 00:58:10.361000,290.0,280.0,308.0,208.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:45.791000,2026-08-23 13:03:28.568,1,1.0,False,,False,False
0 days 01:00:11.939000,NOR,1,0 days 00:02:03.197000,2.0,1.0,,0 days 01:00:10.950000,0 days 00:00:26.899000,0 days 00:00:40.058000,0 days 00:00:56.240000,0 days 00:58:37.260000,0 days 00:59:17.318000,0 days 01:00:13.558000,271.0,163.0,,269.0,False,MEDIUM,2.0,True,McLaren,0 days 00:58:08.742000,2026-08-23 13:04:51.519,125,1.0,False,,False,False
0 days 01:28:33.657000,NOR,1,,3.0,2.0,0 days 01:26:22.390000,,,0 days 00:00:35.231000,0 days 00:01:01.496000,,0 days 01:27:33.798000,0 days 01:28:35.276000,267.0,199.0,82.0,269.0,False,SOFT,4.0,False,McLaren,0 days 01:26:17.312000,2026-08-23 13:33:00.089,1,1.0,False,,False,False
0 days 01:31:52.188000,NOR,1,,4.0,2.0,,,,0 days 00:00:28.340000,0 days 00:00:58.131000,,0 days 01:30:55.700000,0 days 01:31:53.916000,246.0,176.0,52.0,112.0,False,SOFT,5.0,False,McLaren,0 days 01:28:33.657000,2026-08-23 13:35:16.434,12,1.0,False,,False,False
0 days 01:34:18.122000,NOR,1,0 days 00:02:25.934000,5.0,2.0,,,0 days 00:01:35.385000,0 days 00:00:27.429000,0 days 00:00:23.120000,0 days 01:33:29.192000,0 days 01:33:56.621000,0 days 01:34:19.741000,266.0,269.0,311.0,212.0,True,SOFT,6.0,False,McLaren,0 days 01:31:52.188000,2026-08-23 13:38:34.965,12,2.0,False,,False,True
0 days 01:35:34.989000,NOR,1,0 days 00:01:16.867000,6.0,2.0,,,0 days 00:00:26.295000,0 days 00:00:27.442000,0 days 00:00:23.130000,0 days 01:34:46.036000,0 days 01:35:13.478000,0 days 01:35:36.608000,277.0,276.0,314.0,301.0,True,SOFT,7.0,False,McLaren,0 days 01:34:18.122000,2026-08-23 13:41:00.899,1,2.0,False,,False,True
0 days 01:36:51.882000,NOR,1,0 days 00:01:16.893000,7.0,2.0,,,0 days 00:00:26.209000,0 days 00:00:27.466000,0 days 00:00:23.218000,0 days 01:36:02.817000,0 days 01:36:30.283000,0 days 01:36:53.501000,286.0,279.0,315.0,300.0,False,SOFT,8.0,False,McLaren,0 days 01:35:34.989000,2026-08-23 13:42:17.766,1,2.0,False,,False,True
0 days 01:38:08.629000,NOR,1,0 days 00:01:16.747000,8.0,2.0,,,0 days 00:00:25.922000,0 days 00:00:27.712000,0 days 00:00:23.113000,0 days 01:37:19.423000,0 days 01:37:47.135000,0 days 01:38:10.248000,285.0,279.0,318.0,307.0,True,SOFT,9.0,False,McLaren,0 days 01:36:51.882000,2026-08-23 13:43:34.659,1,2.0,False,,False,True
0 days 01:39:25.295000,NOR,1,0 days 00:01:16.666000,9.0,2.0,,,0 days 00:00:25.905000,0 days 00:00:27.682000,0 days 00:00:23.079000,0 days 01:38:36.153000,0 days 01:39:03.835000,0 days 01:39:26.914000,287.0,278.0,313.0,306.0,True,SOFT,10.0,False,McLaren,0 days 01:38:08.629000,2026-08-23 13:44:51.406,1,2.0,False,,False,True
0 days 01:40:42.190000,NOR,1,0 days 00:01:16.895000,10.0,2.0,,,0 days 00:00:25.976000,0 days 00:00:27.796000,0 days 00:00:23.123000,0 days 01:39:52.890000,0 days 01:40:20.686000,0 days 01:40:43.809000,289.0,279.0,314.0,300.0,False,SOFT,11.0,False,McLaren,0 days 01:39:25.295000,2026-08-23 13:46:08.072,1,2.0,False,,False,True
0 days 01:41:59.235000,NOR,1,0 days 00:01:17.045000,11.0,2.0,,,0 days 00:00:25.975000,0 days 00:00:27.893000,0 days 00:00:23.177000,0 days 01:41:09.784000,0 days 01:41:37.677000,0 days 01:42:00.854000,283.0,272.0,312.0,302.0,False,SOFT,12.0,False,McLaren,0 days 01:40:42.190000,2026-08-23 13:47:24.967,1,2.0,False,,False,True
0 days 01:43:16.305000,NOR,1,0 days 00:01:17.070000,12.0,2.0,,,0 days 00:00:26.011000,0 days 00:00:27.857000,0 days 00:00:23.202000,0 days 01:42:26.865000,0 days 01:42:54.722000,0 days 01:43:17.924000,282.0,273.0,313.0,305.0,False,SOFT,13.0,False,McLaren,0 days 01:41:59.235000,2026-08-23 13:48:42.012,1,2.0,False,,False,True
0 days 01:44:33.370000,NOR,1,0 days 00:01:17.065000,13.0,2.0,,,0 days 00:00:25.988000,0 days 00:00:27.868000,0 days 00:00:23.209000,0 days 01:43:43.912000,0 days 01:44:11.780000,0 days 01:44:34.989000,283.0,275.0,312.0,306.0,False,SOFT,14.0,False,McLaren,0 days 01:43:16.305000,2026-08-23 13:49:59.082,1,2.0,False,,False,True
0 days 01:45:50.611000,NOR,1,0 days 00:01:17.241000,14.0,2.0,,,0 days 00:00:25.894000,0 days 00:00:28.041000,0 days 00:00:23.306000,0 days 01:45:00.883000,0 days 01:45:28.924000,0 days 01:45:52.230000,283.0,273.0,312.0,306.0,False,SOFT,15.0,False,McLaren,0 days 01:44:33.370000,2026-08-23 13:51:16.147,1,2.0,False,,False,True
0 days 01:47:07.803000,NOR,1,0 days 00:01:17.192000,15.0,2.0,,,0 days 00:00:25.971000,0 days 00:00:27.951000,0 days 00:00:23.270000,0 days 01:46:18.201000,0 days 01:46:46.152000,0 days 01:47:09.422000,282.0,273.0,312.0,305.0,False,SOFT,16.0,False,McLaren,0 days 01:45:50.611000,2026-08-23 13:52:33.388,1,2.0,False,,False,True
0 days 01:48:24.995000,NOR,1,0 days 00:01:17.192000,16.0,2.0,,,0 days 00:00:25.908000,0 days 00:00:28.026000,0 days 00:00:23.258000,0 days 01:47:35.330000,0 days 01:48:03.356000,0 days 01:48:26.614000,282.0,274.0,314.0,306.0,False,SOFT,17.0,False,McLaren,0 days 01:47:07.803000,2026-08-23 13:53:50.580,1,2.0,False,,False,True
0 days 01:49:42.409000,NOR,1,0 days 00:01:17.414000,17.0,2.0,,,0 days 00:00:25.910000,0 days 00:00:28.135000,0 days 00:00:23.369000,0 days 01:48:52.524000,0 days 01:49:20.659000,0 days 01:49:44.028000,281.0,274.0,313.0,309.0,False,SOFT,18.0,False,McLaren,0 days 01:48:24.995000,2026-08-23 13:55:07.772,1,2.0,False,,False,True
0 days 01:50:59.851000,NOR,1,0 days 00:01:17.442000,18.0,2.0,,,0 days 00:00:26.031000,0 days 00:00:28.074000,0 days 00:00:23.337000,0 days 01:50:10.059000,0 days 01:50:38.133000,0 days 01:51:01.470000,281.0,275.0,312.0,309.0,False,SOFT,19.0,False,McLaren,0 days 01:49:42.409000,2026-08-23 13:56:25.186,1,2.0,False,,False,True
0 days 01:52:17.359000,NOR,1,0 days 00:01:17.508000,19.0,2.0,,,0 days 00:00:25.971000,0 days 00:00:28.202000,0 days 00:00:23.335000,0 days 01:51:27.441000,0 days 01:51:55.643000,0 days 01:52:18.978000,281.0,273.0,314.0,307.0,False,SOFT,20.0,False,McLaren,0 days 01:50:59.851000,2026-08-23 13:57:42.628,1,2.0,False,,False,True
