Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:02:19.054000,STR,18,0 days 00:01:15.217000,4.0,1.0,,,0 days 00:00:18.063000,0 days 00:00:33.599000,0 days 00:00:23.555000,0 days 01:01:21.937000,0 days 01:01:55.536000,0 days 01:02:19.091000,289.0,200.0,275.0,280.0,False,MEDIUM,4.0,True,Aston Martin,0 days 01:01:03.837000,2026-06-28 13:07:15.913,1,20.0,False,,False,True
0 days 01:03:34.041000,STR,18,0 days 00:01:14.987000,5.0,1.0,,,0 days 00:00:18.108000,0 days 00:00:33.453000,0 days 00:00:23.426000,0 days 01:02:37.199000,0 days 01:03:10.652000,0 days 01:03:34.078000,294.0,201.0,276.0,287.0,True,MEDIUM,5.0,True,Aston Martin,0 days 01:02:19.054000,2026-06-28 13:08:31.130,1,20.0,False,,False,True
0 days 01:04:49.036000,STR,18,0 days 00:01:14.995000,6.0,1.0,,,0 days 00:00:18.045000,0 days 00:00:33.490000,0 days 00:00:23.460000,0 days 01:03:52.123000,0 days 01:04:25.613000,0 days 01:04:49.073000,293.0,199.0,276.0,286.0,False,MEDIUM,6.0,True,Aston Martin,0 days 01:03:34.041000,2026-06-28 13:09:46.117,1,20.0,False,,False,True
0 days 01:06:04.626000,STR,18,0 days 00:01:15.590000,7.0,1.0,,,0 days 00:00:18.262000,0 days 00:00:33.787000,0 days 00:00:23.541000,0 days 01:05:07.335000,0 days 01:05:41.122000,0 days 01:06:04.663000,294.0,200.0,276.0,285.0,False,MEDIUM,7.0,True,Aston Martin,0 days 01:04:49.036000,2026-06-28 13:11:01.112,1,20.0,True,TRACK LIMITS AT TURN 1 LAP 7 ,False,True
0 days 01:07:20.111000,STR,18,0 days 00:01:15.485000,8.0,1.0,,,0 days 00:00:18.111000,0 days 00:00:33.750000,0 days 00:00:23.624000,0 days 01:06:22.774000,0 days 01:06:56.524000,0 days 01:07:20.148000,293.0,201.0,275.0,284.0,False,MEDIUM,8.0,True,Aston Martin,0 days 01:06:04.626000,2026-06-28 13:12:16.702,1,20.0,False,,False,True
0 days 01:08:35.566000,STR,18,0 days 00:01:15.455000,9.0,1.0,,,0 days 00:00:18.209000,0 days 00:00:33.544000,0 days 00:00:23.702000,0 days 01:07:38.357000,0 days 01:08:11.901000,0 days 01:08:35.603000,290.0,202.0,275.0,282.0,False,MEDIUM,9.0,True,Aston Martin,0 days 01:07:20.111000,2026-06-28 13:13:32.187,1,20.0,False,,False,True
0 days 01:09:51.206000,STR,18,0 days 00:01:15.640000,10.0,1.0,,,0 days 00:00:18.178000,0 days 00:00:33.787000,0 days 00:00:23.675000,0 days 01:08:53.781000,0 days 01:09:27.568000,0 days 01:09:51.243000,292.0,201.0,276.0,283.0,False,MEDIUM,10.0,True,Aston Martin,0 days 01:08:35.566000,2026-06-28 13:14:47.642,1,20.0,False,,False,True
0 days 01:11:07.162000,STR,18,0 days 00:01:15.956000,11.0,1.0,,,0 days 00:00:18.231000,0 days 00:00:33.753000,0 days 00:00:23.972000,0 days 01:10:09.474000,0 days 01:10:43.227000,0 days 01:11:07.199000,291.0,195.0,274.0,285.0,False,MEDIUM,11.0,True,Aston Martin,0 days 01:09:51.206000,2026-06-28 13:16:03.282,1,20.0,False,,False,True
0 days 01:12:22.997000,STR,18,0 days 00:01:15.835000,12.0,1.0,,,0 days 00:00:18.295000,0 days 00:00:33.751000,0 days 00:00:23.789000,0 days 01:11:25.494000,0 days 01:11:59.245000,0 days 01:12:23.034000,290.0,200.0,275.0,286.0,False,MEDIUM,12.0,True,Aston Martin,0 days 01:11:07.162000,2026-06-28 13:17:19.238,1,20.0,False,,False,True
0 days 01:13:38.714000,STR,18,0 days 00:01:15.717000,13.0,1.0,,,0 days 00:00:18.222000,0 days 00:00:33.698000,0 days 00:00:23.797000,0 days 01:12:41.256000,0 days 01:13:14.954000,0 days 01:13:38.751000,289.0,200.0,276.0,287.0,False,MEDIUM,13.0,True,Aston Martin,0 days 01:12:22.997000,2026-06-28 13:18:35.073,1,20.0,False,,False,True
